計測日,計測時間,電力使用量_全体,電力使用量_空調_熱源,電力使用量_空調_空調機,電力使用量_空調_搬送,電力使用量_照明,電力使用量_コンセント,電力使用量_動力,電力使用量_電灯,電力使用量_冷凍・冷熱,電力使用量_その他,発電量_全体,発電量_自家発電,発電量_太陽光,発電量_風力,発電量_バイオマス,発電量_その他,売電量,蓄電量_蓄電池,放電量_蓄電池,エネルギー使用量_ガス_全体,エネルギー使用量_ガス_空調,エネルギー使用量_ガス_自家発電,エネルギー使用量_ガス_コジェネ,エネルギー使用量_ガス_ボイラー,エネルギー使用量_ガス_その他,エネルギー使用量_油_全体,エネルギー使用量_油_空調,エネルギー使用量_油_自家発電,エネルギー使用量_油_コジェネ,エネルギー使用量_油_ボイラー,エネルギー使用量_油_その他,エネルギー使用量_その他
2021/04/01,1,15,,0,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,2,18,,0,,,,,,13,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,3,16,,0,,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,4,18,,0,,,,,,14,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,5,14,,0,,,,,,10,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,6,17,,0,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,7,13,,0,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,8,16,,0,,,,,,12,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,9,13,,0,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,10,15,,0,,,,,,12,3,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,11,12,,0,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,12,16,,0,,,,,,12,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,13,15,,0,,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,14,20,,0,,,,,,12,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,15,25,,0,,,,,,17,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,16,31,,0,,,,,,23,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,17,25,,0,,,,,,16,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,18,29,,0,,,,,,17,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,19,25,,0,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,20,28,,0,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,21,26,,0,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,22,28,,0,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,23,25,,0,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,24,27,,0,,,,,,16,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,25,25,,0,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,26,28,,0,,,,,,15,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,27,25,,0,,,,,,11,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,28,29,,0,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,29,24,,0,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,30,28,,0,,,,,,15,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,31,24,,0,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,32,27,,0,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,33,24,,0,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,34,27,,0,,,,,,14,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,35,24,,0,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,36,27,,0,,,,,,14,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,37,24,,0,,,,,,11,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,38,27,,0,,,,,,14,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,39,31,,0,,,,,,18,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,40,39,,0,,,,,,26,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,41,27,,0,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,42,28,,0,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,43,24,,0,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,44,24,,0,,,,,,13,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,45,20,,0,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,46,18,,0,,,,,,13,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,47,14,,0,,,,,,9,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,48,17,,0,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,1,14,,0,,,,,,9,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,2,17,,0,,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,3,15,,0,,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,4,17,,0,,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,5,13,,0,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,6,16,,0,,,,,,12,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,7,12,,0,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,8,15,,0,,,,,,11,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,9,12,,0,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,10,15,,0,,,,,,11,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,11,12,,0,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,12,18,,0,,,,,,11,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,13,16,,0,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,14,19,,0,,,,,,11,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,15,25,,0,,,,,,16,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,16,32,,0,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,17,27,,0,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,18,30,,0,,,,,,17,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,19,25,,0,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,20,27,,0,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,21,26,,0,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,22,28,,0,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,23,24,,0,,,,,,13,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,24,28,,0,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,25,26,,0,,,,,,12,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,26,29,,0,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,27,25,,0,,,,,,11,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,28,29,,0,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,29,25,,0,,,,,,12,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,30,28,,0,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,31,23,,0,,,,,,12,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,32,27,,0,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,33,23,,0,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,34,27,,0,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,35,23,,0,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,36,27,,0,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,37,24,,0,,,,,,11,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,38,26,,0,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,39,30,,0,,,,,,18,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,40,38,,0,,,,,,26,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,41,28,,0,,,,,,15,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,42,30,,0,,,,,,17,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,43,23,,0,,,,,,12,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,44,25,,0,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,45,24,,0,,,,,,10,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,46,20,,0,,,,,,13,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,47,14,,0,,,,,,9,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,48,17,,0,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,1,14,,0,,,,,,9,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,2,17,,0,,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,3,15,,0,,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,4,17,,0,,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,5,12,,0,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,6,15,,0,,,,,,11,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,7,12,,0,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,8,15,,0,,,,,,11,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,9,11,,0,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,10,14,,0,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,11,12,,0,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,12,15,,0,,,,,,11,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,13,15,,0,,,,,,8,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,14,19,,0,,,,,,11,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,15,23,,0,,,,,,16,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,16,31,,0,,,,,,23,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,17,25,,0,,,,,,15,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,18,30,,0,,,,,,17,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,19,25,,0,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,20,29,,0,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,21,26,,0,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,22,30,,0,,,,,,16,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,23,25,,0,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,24,29,,0,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,25,26,,0,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,26,29,,0,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,27,26,,0,,,,,,12,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,28,29,,0,,,,,,16,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,29,26,,0,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,30,28,,0,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,31,25,,0,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,32,28,,0,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,33,24,,0,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,34,28,,0,,,,,,15,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,35,25,,0,,,,,,12,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,36,28,,0,,,,,,15,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,37,25,,0,,,,,,12,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,38,27,,0,,,,,,15,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,39,30,,0,,,,,,18,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,40,38,,0,,,,,,26,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,41,27,,0,,,,,,16,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,42,30,,0,,,,,,17,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,43,24,,0,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,44,25,,0,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,45,24,,0,,,,,,11,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,46,23,,0,,,,,,13,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,47,15,,0,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,48,18,,0,,,,,,14,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,1,15,,0,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,2,18,,0,,,,,,13,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,3,17,,0,,,,,,10,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,4,18,,0,,,,,,13,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,5,14,,0,,,,,,9,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,6,17,,0,,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,7,13,,0,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,8,17,,0,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,9,13,,0,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,10,16,,0,,,,,,12,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,11,13,,0,,,,,,8,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,12,19,,0,,,,,,12,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/04,13,17,,0,,,,,,9,8,,,,,,,,,,,,,,,,,,,,,,
