計測日,計測時間,電力使用量_全体,電力使用量_空調_熱源,電力使用量_空調_空調機,電力使用量_空調_搬送,電力使用量_照明,電力使用量_コンセント,電力使用量_動力,電力使用量_電灯,電力使用量_冷凍・冷熱,電力使用量_その他,発電量_全体,発電量_自家発電,発電量_太陽光,発電量_風力,発電量_バイオマス,発電量_その他,売電量,蓄電量_蓄電池,放電量_蓄電池,エネルギー使用量_ガス_全体,エネルギー使用量_ガス_空調,エネルギー使用量_ガス_自家発電,エネルギー使用量_ガス_コジェネ,エネルギー使用量_ガス_ボイラー,エネルギー使用量_ガス_その他,エネルギー使用量_油_全体,エネルギー使用量_油_空調,エネルギー使用量_油_自家発電,エネルギー使用量_油_コジェネ,エネルギー使用量_油_ボイラー,エネルギー使用量_油_その他,エネルギー使用量_その他
2021/04/01,1,32,,0,,0,,,,23,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,2,28,,0,,0,,,,20,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,3,25,,0,,0,,,,18,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,4,28,,0,,0,,,,21,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,5,27,,0,,0,,,,20,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,6,24,,0,,0,,,,17,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,7,24,,0,,0,,,,16,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,8,24,,0,,0,,,,16,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,9,22,,0,,0,,,,16,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,10,22,,0,,0,,,,18,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,11,21,,0,,0,,,,16,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,12,22,,1,,0,,,,16,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,13,24,,2,,0,,,,17,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,14,26,,2,,0,,,,19,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,15,30,,1,,0,,,,22,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,16,36,,1,,0,,,,28,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,17,32,,1,,0,,,,25,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,18,32,,1,,0,,,,25,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,19,29,,1,,0,,,,21,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,20,31,,1,,0,,,,22,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,21,40,,1,,0,,,,28,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,22,43,,1,,0,,,,31,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,23,40,,3,,0,,,,27,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,24,46,,3,,0,,,,31,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,25,44,,2,,0,,,,32,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,26,43,,1,,0,,,,31,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,27,42,,1,,0,,,,32,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,28,48,,0,,0,,,,36,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,29,48,,1,,0,,,,37,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,30,44,,1,,0,,,,33,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,31,44,,1,,0,,,,33,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,32,44,,0,,0,,,,33,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,33,44,,0,,0,,,,33,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,34,44,,0,,0,,,,33,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,35,40,,0,,0,,,,29,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,36,44,,0,,0,,,,34,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,37,43,,0,,0,,,,31,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,38,44,,0,,0,,,,28,15,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,39,46,,0,,0,,,,31,15,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,40,52,,0,,0,,,,36,16,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,41,49,,0,,0,,,,36,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,42,48,,0,,0,,,,33,15,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,43,44,,0,,0,,,,30,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,44,42,,0,,0,,,,27,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,45,41,,0,,0,,,,28,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,46,28,,0,,0,,,,20,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,47,26,,0,,0,,,,18,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/01,48,23,,0,,0,,,,15,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,1,24,,0,,0,,,,16,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,2,24,,0,,0,,,,16,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,3,24,,0,,0,,,,18,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,4,28,,0,,0,,,,19,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,5,28,,0,,0,,,,21,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,6,24,,0,,0,,,,16,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,7,21,,0,,0,,,,16,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,8,20,,0,,0,,,,16,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,9,20,,0,,0,,,,16,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,10,22,,0,,0,,,,17,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,11,20,,0,,0,,,,16,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,12,22,,2,,0,,,,16,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,13,24,,2,,0,,,,18,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,14,26,,2,,0,,,,19,5,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,15,30,,1,,0,,,,22,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,16,36,,1,,0,,,,28,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,17,34,,1,,0,,,,26,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,18,34,,1,,0,,,,27,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,19,28,,1,,0,,,,21,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,20,38,,1,,0,,,,27,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,21,39,,1,,0,,,,27,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,22,40,,1,,0,,,,28,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,23,37,,1,,0,,,,26,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,24,40,,1,,0,,,,28,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,25,42,,1,,0,,,,30,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,26,41,,1,,0,,,,30,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,27,40,,1,,0,,,,28,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,28,44,,1,,0,,,,31,11,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,29,45,,2,,0,,,,33,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,30,42,,2,,0,,,,30,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,31,43,,2,,0,,,,31,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,32,41,,0,,0,,,,30,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,33,40,,0,,0,,,,30,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,34,40,,0,,0,,,,29,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,35,38,,0,,0,,,,27,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,36,42,,0,,0,,,,31,10,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,37,40,,0,,0,,,,27,12,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,38,44,,0,,0,,,,29,15,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,39,44,,0,,0,,,,30,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,40,50,,0,,0,,,,34,15,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,41,48,,0,,0,,,,34,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,42,44,,0,,0,,,,30,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,43,42,,0,,0,,,,28,13,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,44,40,,0,,0,,,,26,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,45,41,,0,,0,,,,26,14,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,46,34,,0,,0,,,,25,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,47,27,,0,,0,,,,18,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/02,48,27,,0,,0,,,,19,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,1,25,,0,,0,,,,16,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,2,24,,0,,0,,,,16,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,3,25,,0,,0,,,,17,8,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,4,28,,0,,0,,,,19,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,5,26,,0,,0,,,,19,7,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,6,25,,0,,0,,,,16,9,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,7,22,,0,,0,,,,16,6,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,8,20,,0,,0,,,,16,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,9,20,,0,,0,,,,17,4,,,,,,,,,,,,,,,,,,,,,,
2021/04/03,10,20,,0,,0,,,,16,3,,,,,,,,,,,,,,,,,,,,,,
