計測日,計測時間,電力使用量_全体,電力使用量_空調_熱源,電力使用量_空調_空調機,電力使用量_空調_搬送,電力使用量_照明,電力使用量_コンセント,電力使用量_動力,電力使用量_電灯,電力使用量_冷凍・冷熱,電力使用量_その他,発電量_全体,発電量_自家発電,発電量_太陽光,発電量_風力,発電量_バイオマス,発電量_その他,売電量,蓄電量_蓄電池,放電量_蓄電池,エネルギー使用量_ガス_全体,エネルギー使用量_ガス_空調,エネルギー使用量_ガス_自家発電,エネルギー使用量_ガス_コジェネ,エネルギー使用量_ガス_ボイラー,エネルギー使用量_ガス_その他,エネルギー使用量_油_全体,エネルギー使用量_油_空調,エネルギー使用量_油_自家発電,エネルギー使用量_油_コジェネ,エネルギー使用量_油_ボイラー,エネルギー使用量_油_その他,エネルギー使用量_その他
2022/04/01,1,131,,77,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,2,98,,37,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,3,95,,30,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,4,75,,5,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,5,80,,5,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,6,72,,8,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,7,49,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,8,46,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,9,45,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,10,46,,1,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,11,45,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,12,54,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,13,54,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,14,62,,1,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,15,94,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,16,89,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,17,119,,23,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,18,150,,66,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,19,152,,65,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,20,166,,66,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,21,171,,62,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,22,161,,53,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,23,154,,47,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,24,143,,38,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,25,143,,32,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,26,142,,30,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,27,135,,28,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,28,142,,29,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,29,143,,31,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,30,144,,30,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,31,141,,31,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,32,129,,25,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
2022/04/01,33,134,,26,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
