計測日,計測時間,電力使用量_全体,電力使用量_空調_熱源,電力使用量_空調_空調機,電力使用量_空調_搬送,電力使用量_照明,電力使用量_コンセント,電力使用量_動力,電力使用量_電灯,電力使用量_冷凍・冷熱,電力使用量_その他,発電量_全体,発電量_自家発電,発電量_太陽光,発電量_風力,発電量_バイオマス,発電量_その他,売電量,蓄電量_蓄電池,放電量_蓄電池,エネルギー使用量_ガス_全体,エネルギー使用量_ガス_空調,エネルギー使用量_ガス_自家発電,エネルギー使用量_ガス_コジェネ,エネルギー使用量_ガス_ボイラー,エネルギー使用量_ガス_その他,エネルギー使用量_油_全体,エネルギー使用量_油_空調,エネルギー使用量_油_自家発電,エネルギー使用量_油_コジェネ,エネルギー使用量_油_ボイラー,エネルギー使用量_油_その他,エネルギー使用量_その他
2015/04/01,1,130,0,,0,,0,2,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,2,120,0,,0,,1,1,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,3,110,0,,0,,0,1,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,4,120,0,,0,,1,1,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,5,110,1,,0,,0,1,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,6,100,1,,0,,0,1,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,7,100,0,,0,,1,1,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,8,100,0,,0,,0,1,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,9,100,0,,0,,1,1,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,10,90,0,,0,,0,1,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,11,110,0,,0,,1,1,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,12,110,1,,0,,0,1,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,13,130,0,,0,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,,0
2015/04/01,14,160,0,,0,,1,2,,,,,,,,,,,,,1,,,,,2,,,,,,,0
2015/04/01,15,160,0,,0,,1,6,,,,,,,,,,,,,4,,,,,4,,,,,,,0
2015/04/01,16,170,0,,0,,1,6,,,,,,,,,,,,,3,,,,,1,,,,,,,0
2015/04/01,17,200,0,,0,,2,7,,,,,,,,,,,,,5,,,,,5,,,,,,,0
2015/04/01,18,280,0,,0,,1,10,,,,,,,,,,,,,0,,,,,0,,,,,,,0
2015/04/01,19,340,1,,0,,2,8,,,,,,,,,,,,,1,,,,,1,,,,,,,0
2015/04/01,20,360,0,,0,,2,9,,,,,,,,,,,,,1,,,,,1,,,,,,,0
2015/04/01,21,350,0,,0,,3,11,,,,,,,,,,,,,1,,,,,1,,,,,,,0
2015/04/01,22,340,0,,0,,4,7,,,,,,,,,,,,,2,,,,,2,,,,,,,0
2015/04/01,23,350,1,,0,,3,6,,,,,,,,,,,,,2,,,,,1,,,,,,,0
2015/04/01,24,350,0,,0,,3,6,,,,,,,,,,,,,3,,,,,2,,,,,,,0
2015/04/01,25,340,0,,0,,3,9,,,,,,,,,,,,,3,,,,,4,,,,,,,0
2015/04/01,26,350,0,,0,,2,11,,,,,,,,,,,,,2,,,,,1,,,,,,,0
2015/04/01,27,380,0,,0,,2,13,,,,,,,,,,,,,2,,,,,2,,,,,,,0
2015/04/01,28,370,1,,0,,2,10,,,,,,,,,,,,,2,,,,,2,,,,,,,0
2015/04/01,29,360,1,,0,,1,7,,,,,,,,,,,,,1,,,,,2,,,,,,,0
2015/04/01,30,350,0,,0,,1,5,,,,,,,,,,,,,1,,,,,0,,,,,,,0
2015/04/01,31,350,0,,0,,1,5,,,,,,,,,,,,,0,,,,,0,,,,,,,0
