計測日,計測時間,電力使用量_全体,電力使用量_空調_熱源,電力使用量_空調_空調機,電力使用量_空調_搬送,電力使用量_照明,電力使用量_コンセント,電力使用量_動力,電力使用量_電灯,電力使用量_冷凍・冷熱,電力使用量_その他,発電量_全体,発電量_自家発電,発電量_太陽光,発電量_風力,発電量_バイオマス,発電量_その他,売電量,蓄電量_蓄電池,放電量_蓄電池,エネルギー使用量_ガス_全体,エネルギー使用量_ガス_空調,エネルギー使用量_ガス_自家発電,エネルギー使用量_ガス_コジェネ,エネルギー使用量_ガス_ボイラー,エネルギー使用量_ガス_その他,エネルギー使用量_油_全体,エネルギー使用量_油_空調,エネルギー使用量_油_自家発電,エネルギー使用量_油_コジェネ,エネルギー使用量_油_ボイラー,エネルギー使用量_油_その他,エネルギー使用量_その他
2020/04/01,1,110,n,n,n,12,n,n,n,n,46,195,n,n,n,n,195,n,n,n,100,n,n,44,20,8,n,n,n,n,n,n,n
2020/04/01,2,130,n,n,n,12,n,n,n,n,48,195,n,n,n,n,195,n,n,n,110,n,n,44,24,8,n,n,n,n,n,n,n
2020/04/01,3,140,n,n,n,12,n,n,n,n,51,195,n,n,n,n,195,n,n,n,100,n,n,44,24,8,n,n,n,n,n,n,n
2020/04/01,4,180,n,n,n,12,n,n,n,n,50,195,n,n,n,n,195,n,n,n,90,n,n,44,11,9,n,n,n,n,n,n,n
2020/04/01,5,130,n,n,n,12,n,n,n,n,50,195,n,n,n,n,195,n,n,n,100,n,n,44,17,10,n,n,n,n,n,n,n
2020/04/01,6,130,n,n,n,12,n,n,n,n,49,195,n,n,n,n,195,n,n,n,100,n,n,44,20,9,n,n,n,n,n,n,n
2020/04/01,7,140,n,n,n,12,n,n,n,n,51,195,n,n,n,n,195,n,n,n,100,n,n,44,27,8,n,n,n,n,n,n,n
2020/04/01,8,110,n,n,n,12,n,n,n,n,49,195,n,n,n,n,195,n,n,n,100,n,n,44,28,8,n,n,n,n,n,n,n
2020/04/01,9,50,n,n,n,12,n,n,n,n,48,174,n,n,n,n,174,n,n,n,80,n,n,40,13,9,n,n,n,n,n,n,n
2020/04/01,10,60,n,n,n,12,n,n,n,n,44,167,n,n,n,n,167,n,n,n,90,n,n,38,21,9,n,n,n,n,n,n,n
2020/04/01,11,50,n,n,n,12,n,n,n,n,43,158,n,n,n,n,158,n,n,n,80,n,n,37,18,8,n,n,n,n,n,n,n
2020/04/01,12,60,n,n,n,12,n,n,n,n,41,150,n,n,n,n,150,n,n,n,100,n,n,35,12,8,n,n,n,n,n,n,n
2020/04/01,13,50,n,n,n,12,n,n,n,n,33,126,n,n,n,n,126,n,n,n,100,n,n,30,11,0,n,n,n,n,n,n,n
2020/04/01,14,60,n,n,n,12,n,n,n,n,34,128,n,n,n,n,128,n,n,n,140,n,n,31,14,0,n,n,n,n,n,n,n
2020/04/01,15,50,n,n,n,14,n,n,n,n,34,135,n,n,n,n,135,n,n,n,140,n,n,32,12,0,n,n,n,n,n,n,n
2020/04/01,16,70,n,n,n,14,n,n,n,n,37,184,n,n,n,n,184,n,n,n,150,n,n,42,16,0,n,n,n,n,n,n,n
2020/04/01,17,160,n,n,n,14,n,n,n,n,46,196,n,n,n,n,196,n,n,n,170,n,n,44,14,9,n,n,n,n,n,n,n
2020/04/01,18,190,n,n,n,14,n,n,n,n,49,194,n,n,n,n,194,n,n,n,170,n,n,44,30,9,n,n,n,n,n,n,n
2020/04/01,19,200,n,n,n,13,n,n,n,n,50,195,n,n,n,n,195,n,n,n,150,n,n,44,26,8,n,n,n,n,n,n,n
2020/04/01,20,260,n,n,n,12,n,n,n,n,50,196,n,n,n,n,196,n,n,n,130,n,n,44,26,8,n,n,n,n,n,n,n
