計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2012/10/01,01,39,7,,,,,
2012/10/01,02,33,6,,,,,
2012/10/01,03,21,4,,,,,
2012/10/01,04,19,4,,,,,
2012/10/01,05,16,4,,,,,
2012/10/01,06,17,4,,,,,
2012/10/01,07,16,4,,,,,
2012/10/01,08,19,4,,,,,
2012/10/01,09,27,7,,,,,
2012/10/01,10,38,12,,,,,
2012/10/01,11,44,15,,,,,
2012/10/01,12,50,20,,,,,
2012/10/01,13,60,26,,,,,
2012/10/01,14,59,28,,,,,
2012/10/01,15,58,28,,,,,
2012/10/01,16,54,25,,,,,
2012/10/01,17,47,17,,,,,
2012/10/01,18,46,16,,,,,
2012/10/01,19,48,14,,,,,
2012/10/01,20,49,14,,,,,
2012/10/01,21,49,15,,,,,
2012/10/01,22,46,13,,,,,
2012/10/01,23,47,13,,,,,
2012/10/01,24,45,12,,,,,
2012/10/02,01,45,12,,,,,
2012/10/02,02,40,10,,,,,
2012/10/02,03,27,6,,,,,
2012/10/02,04,20,4,,,,,
2012/10/02,05,17,4,,,,,
2012/10/02,06,17,4,,,,,
2012/10/02,07,17,4,,,,,
2012/10/02,08,19,4,,,,,
2012/10/02,09,18,6,,,,,
2012/10/02,10,31,7,,,,,
2012/10/02,11,36,10,,,,,
2012/10/02,12,44,14,,,,,
2012/10/02,13,50,18,,,,,
2012/10/02,14,50,19,,,,,
2012/10/02,15,47,16,,,,,
2012/10/02,16,42,12,,,,,
2012/10/02,17,35,7,,,,,
2012/10/02,18,36,8,,,,,
2012/10/02,19,42,8,,,,,
2012/10/02,20,44,9,,,,,
2012/10/02,21,43,8,,,,,
2012/10/02,22,39,8,,,,,
2012/10/02,23,40,7,,,,,
2012/10/02,24,39,6,,,,,
2012/10/03,01,35,4,,,,,
2012/10/03,02,28,4,,,,,
2012/10/03,03,18,3,,,,,
2012/10/03,04,18,3,,,,,
2012/10/03,05,16,3,,,,,
2012/10/03,06,16,3,,,,,
2012/10/03,07,15,3,,,,,
2012/10/03,08,17,3,,,,,
2012/10/03,09,16,3,,,,,
2012/10/03,10,29,3,,,,,
2012/10/03,11,30,5,,,,,
2012/10/03,12,34,6,,,,,
2012/10/03,13,33,4,,,,,
