計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/12/01,01,92,,36,,,50,6
2013/12/01,02,81,,33,,,46,2
2013/12/01,03,73,,32,,,39,2
2013/12/01,04,91,,44,,,45,2
2013/12/01,05,109,,54,,,46,9
2013/12/01,06,136,,67,,,46,23
2013/12/01,07,196,,74,,,44,78
2013/12/01,08,234,,83,,,55,96
2013/12/01,09,241,,86,,,63,92
2013/12/01,10,287,,123,,,76,88
2013/12/01,11,279,,127,,,75,77
2013/12/01,12,263,,125,,,84,54
2013/12/01,13,260,,126,,,85,49
2013/12/01,14,278,,125,,,85,68
2013/12/01,15,275,,124,,,84,67
2013/12/01,16,254,,125,,,84,45
2013/12/01,17,244,,132,,,83,29
2013/12/01,18,248,,141,,,81,26
2013/12/01,19,242,,137,,,78,27
2013/12/01,20,236,,134,,,75,27
2013/12/01,21,245,,132,,,73,40
2013/12/01,22,248,,130,,,77,41
2013/12/01,23,232,,129,,,73,30
2013/12/01,24,113,,46,,,58,9
2013/12/02,01,90,,33,,,53,4
2013/12/02,02,84,,32,,,49,3
2013/12/02,03,77,,32,,,42,3
2013/12/02,04,81,,31,,,47,3
2013/12/02,05,80,,31,,,46,3
2013/12/02,06,119,,53,,,48,18
2013/12/02,07,180,,70,,,45,65
2013/12/02,08,214,,80,,,55,79
2013/12/02,09,245,,83,,,62,100
2013/12/02,10,282,,121,,,74,87
2013/12/02,11,269,,126,,,74,69
2013/12/02,12,268,,124,,,82,62
2013/12/02,13,262,,124,,,85,53
2013/12/02,14,275,,123,,,86,66
2013/12/02,15,266,,125,,,81,60
2013/12/02,16,260,,125,,,82,53
2013/12/02,17,262,,132,,,83,47
2013/12/02,18,261,,143,,,83,35
2013/12/02,19,262,,141,,,82,39
2013/12/02,20,262,,135,,,81,46
2013/12/02,21,250,,132,,,79,39
2013/12/02,22,253,,130,,,84,39
2013/12/02,23,237,,130,,,75,32
2013/12/02,24,112,,46,,,60,6
2013/12/03,01,87,,33,,,51,3
2013/12/03,02,82,,31,,,48,3
2013/12/03,03,75,,31,,,42,2
2013/12/03,04,81,,31,,,47,3
2013/12/03,05,80,,31,,,46,3
2013/12/03,06,123,,56,,,49,18
2013/12/03,07,192,,70,,,47,75
2013/12/03,08,238,,81,,,62,95
2013/12/03,09,244,,85,,,69,90
2013/12/03,10,268,,120,,,80,68
2013/12/03,11,271,,122,,,76,73
2013/12/03,12,269,,122,,,84,63
2013/12/03,13,253,,123,,,85,45
2013/12/03,14,263,,123,,,87,53
2013/12/03,15,249,,123,,,80,46
2013/12/03,16,248,,124,,,84,40
2013/12/03,17,247,,131,,,83,33
2013/12/03,18,257,,140,,,84,33
2013/12/03,19,254,,139,,,83,32
2013/12/03,20,247,,134,,,84,29
2013/12/03,21,243,,132,,,81,30
2013/12/03,22,251,,131,,,84,36
2013/12/03,23,237,,130,,,78,29
2013/12/03,24,141,,50,,,66,25
2013/12/04,01,115,,34,,,62,19
2013/12/04,02,116,,31,,,62,23
2013/12/04,03,106,,32,,,53,21
2013/12/04,04,114,,32,,,60,22
2013/12/04,05,112,,32,,,58,22
2013/12/04,06,151,,53,,,62,36
2013/12/04,07,204,,70,,,59,75
2013/12/04,08,240,,81,,,70,89
2013/12/04,09,244,,83,,,71,90
2013/12/04,10,273,,121,,,81,71
2013/12/04,11,276,,125,,,81,70
2013/12/04,12,272,,127,,,87,58
2013/12/04,13,257,,125,,,87,45
2013/12/04,14,282,,124,,,88,70
2013/12/04,15,249,,125,,,84,40
2013/12/04,16,243,,125,,,84,34
2013/12/04,17,252,,131,,,84,37
2013/12/04,18,263,,141,,,85,37
2013/12/04,19,262,,139,,,81,42
2013/12/04,20,251,,133,,,82,36
2013/12/04,21,245,,131,,,79,35
2013/12/04,22,247,,129,,,83,35
2013/12/04,23,231,,127,,,74,30
2013/12/04,24,113,,45,,,60,8
2013/12/05,01,86,,31,,,52,3
2013/12/05,02,85,,31,,,52,2
2013/12/05,03,76,,31,,,43,2
2013/12/05,04,82,,30,,,48,4
2013/12/05,05,80,,31,,,47,2
2013/12/05,06,120,,53,,,50,17
2013/12/05,07,183,,69,,,47,67
2013/12/05,08,219,,79,,,61,79
2013/12/05,09,244,,84,,,67,93
2013/12/05,10,266,,121,,,78,67
2013/12/05,11,265,,124,,,78,63
2013/12/05,12,261,,126,,,83,52
2013/12/05,13,254,,126,,,85,43
2013/12/05,14,267,,125,,,87,55
2013/12/05,15,245,,124,,,80,41
2013/12/05,16,241,,126,,,82,33
2013/12/05,17,239,,131,,,80,28
2013/12/05,18,254,,141,,,81,32
2013/12/05,19,258,,140,,,80,38
2013/12/05,20,259,,135,,,82,42
2013/12/05,21,249,,133,,,78,38
2013/12/05,22,249,,131,,,81,37
2013/12/05,23,233,,129,,,74,30
2013/12/05,24,119,,53,,,60,6
2013/12/06,01,86,,31,,,52,3
2013/12/06,02,85,,31,,,51,3
2013/12/06,03,75,,31,,,42,2
2013/12/06,04,82,,31,,,49,2
2013/12/06,05,81,,31,,,47,3
2013/12/06,06,117,,49,,,50,18
2013/12/06,07,189,,70,,,49,70
2013/12/06,08,224,,81,,,62,81
2013/12/06,09,245,,84,,,67,94
2013/12/06,10,278,,122,,,78,78
2013/12/06,11,266,,125,,,76,65
2013/12/06,12,269,,126,,,84,59
2013/12/06,13,252,,126,,,83,43
2013/12/06,14,271,,124,,,86,61
2013/12/06,15,254,,124,,,81,49
2013/12/06,16,243,,124,,,82,37
2013/12/06,17,249,,132,,,82,35
2013/12/06,18,259,,141,,,83,35
2013/12/06,19,262,,139,,,82,41
2013/12/06,20,252,,135,,,83,34
2013/12/06,21,249,,133,,,80,36
2013/12/06,22,245,,128,,,82,35
2013/12/06,23,236,,128,,,74,34
2013/12/06,24,130,,54,,,62,14
