計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/11/01,01,10,4,6,,,,
2013/11/01,02,8,4,4,,,,
2013/11/01,03,8,4,4,,,,
2013/11/01,04,8,4,4,,,,
2013/11/01,05,8,4,4,,,,
2013/11/01,06,17,6,11,,,,
2013/11/01,07,22,7,15,,,,
2013/11/01,08,54,29,25,,,,
2013/11/01,09,84,51,33,,,,
2013/11/01,10,71,48,23,,,,
2013/11/01,11,73,49,24,,,,
2013/11/01,12,74,49,25,,,,
2013/11/01,13,74,50,24,,,,
2013/11/01,14,71,46,25,,,,
2013/11/01,15,72,46,26,,,,
2013/11/01,16,69,46,23,,,,
2013/11/01,17,71,45,26,,,,
2013/11/01,18,72,46,26,,,,
2013/11/01,19,71,47,24,,,,
2013/11/01,20,73,46,27,,,,
2013/11/01,21,68,46,22,,,,
2013/11/01,22,59,34,25,,,,
2013/11/01,23,42,15,27,,,,
2013/11/01,24,20,8,12,,,,
2013/11/02,01,12,7,5,,,,
2013/11/02,02,10,6,4,,,,
2013/11/02,03,9,5,4,,,,
2013/11/02,04,8,4,4,,,,
2013/11/02,05,8,4,4,,,,
2013/11/02,06,19,6,13,,,,
2013/11/02,07,23,9,14,,,,
2013/11/02,08,56,32,24,,,,
2013/11/02,09,83,50,33,,,,
2013/11/02,10,74,51,23,,,,
2013/11/02,11,73,48,25,,,,
2013/11/02,12,73,47,26,,,,
2013/11/02,13,72,48,24,,,,
2013/11/02,14,71,46,25,,,,
2013/11/02,15,73,48,25,,,,
2013/11/02,16,72,47,25,,,,
2013/11/02,17,72,46,26,,,,
2013/11/02,18,71,46,25,,,,
2013/11/02,19,70,47,23,,,,
2013/11/02,20,72,46,26,,,,
2013/11/02,21,62,39,23,,,,
2013/11/02,22,58,31,27,,,,
2013/11/02,23,52,22,30,,,,
2013/11/02,24,30,13,17,,,,
2013/11/03,01,28,14,14,,,,
2013/11/03,02,16,9,7,,,,
2013/11/03,03,8,4,4,,,,
2013/11/03,04,7,4,3,,,,
2013/11/03,05,8,4,4,,,,
2013/11/03,06,19,6,13,,,,
2013/11/03,07,23,8,15,,,,
2013/11/03,08,59,31,28,,,,
2013/11/03,09,83,50,33,,,,
2013/11/03,10,69,46,23,,,,
2013/11/03,11,70,45,25,,,,
2013/11/03,12,71,45,26,,,,
2013/11/03,13,72,48,24,,,,
2013/11/03,14,71,46,25,,,,
2013/11/03,15,72,46,26,,,,
2013/11/03,16,71,46,25,,,,
2013/11/03,17,72,47,25,,,,
2013/11/03,18,73,48,25,,,,
2013/11/03,19,73,48,25,,,,
2013/11/03,20,74,48,26,,,,
2013/11/03,21,68,45,23,,,,
2013/11/03,22,62,36,26,,,,
2013/11/03,23,46,22,24,,,,
2013/11/03,24,19,8,11,,,,
2013/11/04,01,8,4,4,,,,
2013/11/04,02,8,4,4,,,,
2013/11/04,03,8,4,4,,,,
2013/11/04,04,8,4,4,,,,
2013/11/04,05,8,4,4,,,,
2013/11/04,06,18,6,12,,,,
2013/11/04,07,24,9,15,,,,
2013/11/04,08,57,31,26,,,,
2013/11/04,09,79,46,33,,,,
2013/11/04,10,71,48,23,,,,
2013/11/04,11,73,48,25,,,,
2013/11/04,12,74,48,26,,,,
2013/11/04,13,75,50,25,,,,
2013/11/04,14,73,48,25,,,,
2013/11/04,15,71,46,25,,,,
2013/11/04,16,70,46,24,,,,
2013/11/04,17,71,45,26,,,,
2013/11/04,18,71,46,25,,,,
2013/11/04,19,72,48,24,,,,
2013/11/04,20,73,47,26,,,,
2013/11/04,21,69,45,24,,,,
2013/11/04,22,59,33,26,,,,
2013/11/04,23,42,17,25,,,,
2013/11/04,24,21,7,14,,,,
2013/11/05,01,17,7,10,,,,
2013/11/05,02,9,4,5,,,,
2013/11/05,03,8,4,4,,,,
2013/11/05,04,7,4,3,,,,
2013/11/05,05,8,4,4,,,,
2013/11/05,06,21,8,13,,,,
2013/11/05,07,22,7,15,,,,
2013/11/05,08,57,30,27,,,,
2013/11/05,09,79,47,32,,,,
2013/11/05,10,73,50,23,,,,
2013/11/05,11,72,47,25,,,,
2013/11/05,12,72,46,26,,,,
2013/11/05,13,72,48,24,,,,
2013/11/05,14,71,46,25,,,,
2013/11/05,15,70,44,26,,,,
2013/11/05,16,69,44,25,,,,
2013/11/05,17,70,45,25,,,,
2013/11/05,18,71,46,25,,,,
2013/11/05,19,70,45,25,,,,
2013/11/05,20,71,45,26,,,,
2013/11/05,21,67,44,23,,,,
2013/11/05,22,62,35,27,,,,
2013/11/05,23,49,19,30,,,,
2013/11/05,24,30,9,21,,,,
2013/11/06,01,8,4,4,,,,
2013/11/06,02,8,4,4,,,,
2013/11/06,03,8,4,4,,,,
2013/11/06,04,8,4,4,,,,
2013/11/06,05,8,4,4,,,,
2013/11/06,06,19,6,13,,,,
2013/11/06,07,22,7,15,,,,
2013/11/06,08,55,30,25,,,,
2013/11/06,09,92,60,32,,,,
2013/11/06,10,75,52,23,,,,
2013/11/06,11,69,45,24,,,,
2013/11/06,12,70,44,26,,,,
2013/11/06,13,70,46,24,,,,
2013/11/06,14,70,45,25,,,,
2013/11/06,15,71,46,25,,,,
2013/11/06,16,71,47,24,,,,
2013/11/06,17,72,47,25,,,,
2013/11/06,18,70,46,24,,,,
2013/11/06,19,68,44,24,,,,
2013/11/06,20,70,44,26,,,,
2013/11/06,21,64,41,23,,,,
2013/11/06,22,57,30,27,,,,
2013/11/06,23,50,20,30,,,,
2013/11/06,24,14,6,8,,,,
2013/11/07,01,8,4,4,,,,
2013/11/07,02,8,4,4,,,,
2013/11/07,03,8,4,4,,,,
2013/11/07,04,8,4,4,,,,
2013/11/07,05,8,4,4,,,,
2013/11/07,06,21,7,14,,,,
2013/11/07,07,22,7,15,,,,
2013/11/07,08,54,28,26,,,,
2013/11/07,09,80,48,32,,,,
2013/11/07,10,75,52,23,,,,
2013/11/07,11,70,45,25,,,,
2013/11/07,12,76,50,26,,,,
2013/11/07,13,69,45,24,,,,
2013/11/07,14,72,47,25,,,,
2013/11/07,15,72,47,25,,,,
2013/11/07,16,70,47,23,,,,
2013/11/07,17,72,47,25,,,,
2013/11/07,18,70,46,24,,,,
2013/11/07,19,69,45,24,,,,
2013/11/07,20,70,44,26,,,,
2013/11/07,21,66,43,23,,,,
2013/11/07,22,61,35,26,,,,
2013/11/07,23,49,18,31,,,,
2013/11/07,24,21,7,14,,,,
2013/11/08,01,17,7,10,,,,
2013/11/08,02,16,7,9,,,,
2013/11/08,03,12,5,7,,,,
2013/11/08,04,10,4,6,,,,
2013/11/08,05,11,4,7,,,,
2013/11/08,06,19,6,13,,,,
2013/11/08,07,22,7,15,,,,
2013/11/08,08,57,31,26,,,,
2013/11/08,09,85,52,33,,,,
2013/11/08,10,74,51,23,,,,
2013/11/08,11,70,45,25,,,,
2013/11/08,12,71,45,26,,,,
2013/11/08,13,71,47,24,,,,
2013/11/08,14,73,48,25,,,,
2013/11/08,15,71,46,25,,,,
2013/11/08,16,69,45,24,,,,
2013/11/08,17,70,45,25,,,,
2013/11/08,18,72,47,25,,,,
2013/11/08,19,72,48,24,,,,
2013/11/08,20,79,52,27,,,,
2013/11/08,21,74,51,23,,,,
2013/11/08,22,62,36,26,,,,
2013/11/08,23,40,17,23,,,,
2013/11/08,24,28,11,17,,,,
2013/11/09,01,17,9,8,,,,
2013/11/09,02,10,5,5,,,,
2013/11/09,03,9,5,4,,,,
2013/11/09,04,8,4,4,,,,
2013/11/09,05,8,4,4,,,,
2013/11/09,06,20,6,14,,,,
2013/11/09,07,23,8,15,,,,
2013/11/09,08,57,31,26,,,,
2013/11/09,09,92,59,33,,,,
2013/11/09,10,84,60,24,,,,
2013/11/09,11,81,57,24,,,,
2013/11/09,12,80,54,26,,,,
2013/11/09,13,80,54,26,,,,
2013/11/09,14,81,57,24,,,,
2013/11/09,15,81,54,27,,,,
2013/11/09,16,83,57,26,,,,
2013/11/09,17,74,50,24,,,,
2013/11/09,18,78,50,28,,,,
2013/11/09,19,72,49,23,,,,
2013/11/09,20,74,48,26,,,,
2013/11/09,21,75,50,25,,,,
2013/11/09,22,60,36,24,,,,
2013/11/09,23,50,24,26,,,,
2013/11/09,24,17,6,11,,,,
2013/11/10,01,8,4,4,,,,
2013/11/10,02,8,4,4,,,,
2013/11/10,03,8,4,4,,,,
2013/11/10,04,8,4,4,,,,
2013/11/10,05,9,5,4,,,,
2013/11/10,06,20,7,13,,,,
2013/11/10,07,23,8,15,,,,
2013/11/10,08,58,32,26,,,,
2013/11/10,09,95,62,33,,,,
2013/11/10,10,85,61,24,,,,
2013/11/10,11,81,56,25,,,,
2013/11/10,12,81,55,26,,,,
2013/11/10,13,80,54,26,,,,
2013/11/10,14,75,52,23,,,,
2013/11/10,15,74,48,26,,,,
2013/11/10,16,71,46,25,,,,
2013/11/10,17,70,47,23,,,,
2013/11/10,18,73,46,27,,,,
2013/11/10,19,69,46,23,,,,
2013/11/10,20,73,47,26,,,,
2013/11/10,21,69,45,24,,,,
2013/11/10,22,60,36,24,,,,
2013/11/10,23,54,24,30,,,,
2013/11/10,24,19,8,11,,,,
2013/11/11,01,8,4,4,,,,
2013/11/11,02,8,4,4,,,,
2013/11/11,03,8,4,4,,,,
2013/11/11,04,8,3,5,,,,
2013/11/11,05,8,4,4,,,,
2013/11/11,06,20,7,13,,,,
2013/11/11,07,23,9,14,,,,
2013/11/11,08,51,27,24,,,,
2013/11/11,09,86,54,32,,,,
2013/11/11,10,74,52,22,,,,
2013/11/11,11,77,52,25,,,,
2013/11/11,12,80,54,26,,,,
2013/11/11,13,74,49,25,,,,
2013/11/11,14,67,45,22,,,,
2013/11/11,15,77,51,26,,,,
2013/11/11,16,78,53,25,,,,
2013/11/11,17,68,45,23,,,,
2013/11/11,18,73,45,28,,,,
2013/11/11,19,73,50,23,,,,
2013/11/11,20,79,53,26,,,,
2013/11/11,21,82,57,25,,,,
2013/11/11,22,65,41,24,,,,
2013/11/11,23,47,23,24,,,,
2013/11/11,24,26,10,16,,,,
2013/11/12,01,9,4,5,,,,
2013/11/12,02,7,3,4,,,,
2013/11/12,03,8,3,5,,,,
2013/11/12,04,8,4,4,,,,
2013/11/12,05,10,5,5,,,,
2013/11/12,06,19,6,13,,,,
2013/11/12,07,22,7,15,,,,
2013/11/12,08,58,33,25,,,,
2013/11/12,09,102,69,33,,,,
2013/11/12,10,88,64,24,,,,
2013/11/12,11,88,63,25,,,,
2013/11/12,12,90,64,26,,,,
2013/11/12,13,97,71,26,,,,
2013/11/12,14,82,59,23,,,,
2013/11/12,15,74,48,26,,,,
2013/11/12,16,82,56,26,,,,
2013/11/12,17,69,46,23,,,,
2013/11/12,18,79,50,29,,,,
2013/11/12,19,77,53,24,,,,
2013/11/12,20,69,43,26,,,,
2013/11/12,21,68,43,25,,,,
2013/11/12,22,66,42,24,,,,
2013/11/12,23,55,25,30,,,,
2013/11/12,24,42,11,31,,,,
2013/11/13,01,12,4,8,,,,
2013/11/13,02,11,5,6,,,,
2013/11/13,03,11,5,6,,,,
2013/11/13,04,8,4,4,,,,
2013/11/13,05,8,4,4,,,,
2013/11/13,06,21,7,14,,,,
2013/11/13,07,22,7,15,,,,
2013/11/13,08,66,40,26,,,,
2013/11/13,09,101,69,32,,,,
2013/11/13,10,92,69,23,,,,
2013/11/13,11,92,67,25,,,,
2013/11/13,12,90,64,26,,,,
2013/11/13,13,87,62,25,,,,
2013/11/13,14,78,55,23,,,,
2013/11/13,15,73,48,25,,,,
2013/11/13,16,77,52,25,,,,
2013/11/13,17,71,48,23,,,,
2013/11/13,18,76,49,27,,,,
2013/11/13,19,68,46,22,,,,
2013/11/13,20,69,44,25,,,,
2013/11/13,21,71,47,24,,,,
2013/11/13,22,67,44,23,,,,
2013/11/13,23,53,25,28,,,,
2013/11/13,24,34,12,22,,,,
2013/11/14,01,21,9,12,,,,
2013/11/14,02,10,5,5,,,,
2013/11/14,03,8,4,4,,,,
2013/11/14,04,8,4,4,,,,
2013/11/14,05,9,4,5,,,,
2013/11/14,06,19,6,13,,,,
2013/11/14,07,23,8,15,,,,
2013/11/14,08,66,40,26,,,,
2013/11/14,09,109,76,33,,,,
2013/11/14,10,98,75,23,,,,
2013/11/14,11,90,65,25,,,,
2013/11/14,12,85,59,26,,,,
2013/11/14,13,82,56,26,,,,
2013/11/14,14,82,58,24,,,,
2013/11/14,15,85,59,26,,,,
2013/11/14,16,83,58,25,,,,
2013/11/14,17,71,48,23,,,,
2013/11/14,18,79,52,27,,,,
2013/11/14,19,71,48,23,,,,
2013/11/14,20,71,45,26,,,,
2013/11/14,21,68,45,23,,,,
2013/11/14,22,60,36,24,,,,
2013/11/14,23,52,24,28,,,,
2013/11/14,24,20,7,13,,,,
2013/11/15,01,8,4,4,,,,
2013/11/15,02,9,4,5,,,,
2013/11/15,03,8,4,4,,,,
2013/11/15,04,8,3,5,,,,
2013/11/15,05,9,4,5,,,,
2013/11/15,06,19,6,13,,,,
2013/11/15,07,23,8,15,,,,
2013/11/15,08,67,41,26,,,,
2013/11/15,09,104,70,34,,,,
2013/11/15,10,95,71,24,,,,
2013/11/15,11,90,65,25,,,,
2013/11/15,12,88,62,26,,,,
2013/11/15,13,80,55,25,,,,
2013/11/15,14,79,55,24,,,,
2013/11/15,15,71,45,26,,,,
2013/11/15,16,74,49,25,,,,
2013/11/15,17,76,52,24,,,,
2013/11/15,18,80,53,27,,,,
2013/11/15,19,70,47,23,,,,
2013/11/15,20,72,47,25,,,,
2013/11/15,21,74,49,25,,,,
2013/11/15,22,59,35,24,,,,
2013/11/15,23,53,25,28,,,,
2013/11/15,24,24,8,16,,,,
2013/11/16,01,15,6,9,,,,
2013/11/16,02,7,3,4,,,,
2013/11/16,03,7,3,4,,,,
2013/11/16,04,9,5,4,,,,
2013/11/16,05,8,3,5,,,,
2013/11/16,06,20,6,14,,,,
2013/11/16,07,22,7,15,,,,
2013/11/16,08,66,39,27,,,,
2013/11/16,09,100,67,33,,,,
2013/11/16,10,92,69,23,,,,
2013/11/16,11,81,57,24,,,,
2013/11/16,12,83,57,26,,,,
2013/11/16,13,76,52,24,,,,
2013/11/16,14,72,48,24,,,,
2013/11/16,15,81,55,26,,,,
2013/11/16,16,73,48,25,,,,
2013/11/16,17,69,45,24,,,,
2013/11/16,18,75,49,26,,,,
2013/11/16,19,71,48,23,,,,
2013/11/16,20,72,45,27,,,,
2013/11/16,21,72,48,24,,,,
2013/11/16,22,58,34,24,,,,
2013/11/16,23,53,22,31,,,,
2013/11/16,24,22,7,15,,,,
2013/11/17,01,8,4,4,,,,
2013/11/17,02,8,4,4,,,,
2013/11/17,03,8,4,4,,,,
2013/11/17,04,8,3,5,,,,
2013/11/17,05,8,4,4,,,,
2013/11/17,06,20,6,14,,,,
2013/11/17,07,23,9,14,,,,
2013/11/17,08,62,36,26,,,,
2013/11/17,09,102,68,34,,,,
2013/11/17,10,96,72,24,,,,
2013/11/17,11,84,59,25,,,,
2013/11/17,12,82,56,26,,,,
2013/11/17,13,77,53,24,,,,
2013/11/17,14,73,49,24,,,,
2013/11/17,15,72,46,26,,,,
2013/11/17,16,72,48,24,,,,
2013/11/17,17,69,45,24,,,,
2013/11/17,18,71,45,26,,,,
2013/11/17,19,73,51,22,,,,
2013/11/17,20,75,49,26,,,,
2013/11/17,21,69,45,24,,,,
2013/11/17,22,58,35,23,,,,
2013/11/17,23,49,20,29,,,,
2013/11/17,24,24,7,17,,,,
2013/11/18,01,22,9,13,,,,
2013/11/18,02,9,4,5,,,,
2013/11/18,03,9,5,4,,,,
2013/11/18,04,8,4,4,,,,
2013/11/18,05,8,4,4,,,,
2013/11/18,06,19,6,13,,,,
2013/11/18,07,22,7,15,,,,
2013/11/18,08,64,37,27,,,,
2013/11/18,09,95,62,33,,,,
2013/11/18,10,86,63,23,,,,
2013/11/18,11,75,51,24,,,,
2013/11/18,12,73,48,25,,,,
2013/11/18,13,70,47,23,,,,
2013/11/18,14,68,44,24,,,,
