計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2014/02/01,01,10,,,5,5,,
2014/02/01,02,9,,,4,5,,
2014/02/01,03,10,,,5,5,,
2014/02/01,04,10,,,4,5,,
2014/02/01,05,10,,,5,5,,
2014/02/01,06,10,,,5,5,,
2014/02/01,07,9,,,4,5,,
2014/02/01,08,21,,,15,6,,
2014/02/01,09,63,,,33,30,,
2014/02/01,10,64,,,30,33,,
2014/02/01,11,66,,,29,36,,
2014/02/01,12,66,,,29,37,,
2014/02/01,13,62,,,26,36,,
2014/02/01,14,63,,,23,40,,
2014/02/01,15,65,,,25,40,,
2014/02/01,16,52,,,16,36,,
2014/02/01,17,56,,,17,38,,
2014/02/01,18,55,,,20,35,,
2014/02/01,19,49,,,18,30,,
2014/02/01,20,51,,,20,31,,
2014/02/01,21,53,,,22,31,,
2014/02/01,22,41,,,17,24,,
2014/02/01,23,13,,,6,7,,
2014/02/01,24,11,,,6,5,,
2014/02/02,01,11,,,6,5,,
2014/02/02,02,11,,,6,5,,
2014/02/02,03,13,,,8,5,,
2014/02/02,04,11,,,6,5,,
2014/02/02,05,11,,,6,5,,
2014/02/02,06,12,,,7,5,,
2014/02/02,07,13,,,8,5,,
2014/02/02,08,12,,,7,5,,
2014/02/02,09,12,,,6,5,,
2014/02/02,10,14,,,8,6,,
2014/02/02,11,26,,,12,14,,
2014/02/02,12,53,,,25,27,,
2014/02/02,13,56,,,26,30,,
2014/02/02,14,50,,,20,30,,
2014/02/02,15,52,,,20,32,,
2014/02/02,16,49,,,18,31,,
2014/02/02,17,49,,,17,32,,
2014/02/02,18,50,,,18,32,,
2014/02/02,19,48,,,17,31,,
2014/02/02,20,26,,,9,16,,
2014/02/02,21,25,,,9,16,,
2014/02/02,22,25,,,10,15,,
2014/02/02,23,10,,,3,7,,
2014/02/02,24,8,,,3,5,,
2014/02/03,01,8,,,3,5,,
2014/02/03,02,7,,,2,5,,
2014/02/03,03,8,,,3,5,,
2014/02/03,04,8,,,3,5,,
2014/02/03,05,8,,,3,5,,
2014/02/03,06,8,,,3,5,,
2014/02/03,07,8,,,3,5,,
2014/02/03,08,8,,,3,5,,
2014/02/03,09,8,,,2,5,,
2014/02/03,10,8,,,3,5,,
2014/02/03,11,28,,,12,16,,
2014/02/03,12,39,,,15,24,,
2014/02/03,13,36,,,12,24,,
2014/02/03,14,37,,,12,25,,
2014/02/03,15,40,,,12,28,,
2014/02/03,16,32,,,10,22,,
2014/02/03,17,30,,,9,21,,
2014/02/03,18,29,,,8,21,,
2014/02/03,19,30,,,9,21,,
2014/02/03,20,27,,,8,19,,
2014/02/03,21,25,,,7,18,,
2014/02/03,22,16,,,5,11,,
2014/02/03,23,10,,,3,7,,
2014/02/03,24,8,,,3,5,,
2014/02/04,01,8,,,3,5,,
2014/02/04,02,7,,,2,5,,
2014/02/04,03,8,,,3,5,,
2014/02/04,04,8,,,3,5,,
2014/02/04,05,8,,,3,5,,
2014/02/04,06,8,,,3,5,,
2014/02/04,07,8,,,3,5,,
2014/02/04,08,7,,,2,5,,
2014/02/04,09,7,,,2,5,,
2014/02/04,10,7,,,2,5,,
2014/02/04,11,26,,,13,12,,
2014/02/04,12,36,,,18,18,,
2014/02/04,13,40,,,17,23,,
2014/02/04,14,42,,,19,23,,
2014/02/04,15,36,,,18,17,,
2014/02/04,16,37,,,19,18,,
2014/02/04,17,49,,,20,29,,
2014/02/04,18,55,,,26,29,,
2014/02/04,19,45,,,19,26,,
2014/02/04,20,45,,,21,24,,
2014/02/04,21,32,,,18,14,,
2014/02/04,22,8,,,3,5,,
2014/02/04,23,7,,,2,5,,
2014/02/04,24,8,,,3,5,,
2014/02/05,01,8,,,3,5,,
2014/02/05,02,7,,,2,5,,
2014/02/05,03,7,,,2,5,,
2014/02/05,04,7,,,2,5,,
2014/02/05,05,7,,,2,5,,
2014/02/05,06,7,,,2,5,,
2014/02/05,07,7,,,2,5,,
2014/02/05,08,7,,,2,5,,
2014/02/05,09,7,,,2,5,,
2014/02/05,10,8,,,3,5,,
2014/02/05,11,50,,,36,14,,
2014/02/05,12,54,,,34,20,,
2014/02/05,13,59,,,30,29,,
2014/02/05,14,61,,,30,31,,
2014/02/05,15,61,,,29,32,,
2014/02/05,16,56,,,24,32,,
2014/02/05,17,59,,,26,33,,
2014/02/05,18,56,,,23,33,,
2014/02/05,19,61,,,27,33,,
2014/02/05,20,47,,,25,22,,
2014/02/05,21,43,,,25,18,,
2014/02/05,22,11,,,3,8,,
2014/02/05,23,9,,,2,7,,
2014/02/05,24,7,,,2,5,,
2014/02/06,01,8,,,3,5,,
2014/02/06,02,7,,,2,5,,
2014/02/06,03,7,,,2,5,,
2014/02/06,04,7,,,2,5,,
2014/02/06,05,7,,,2,5,,
2014/02/06,06,7,,,2,5,,
2014/02/06,07,7,,,2,5,,
2014/02/06,08,8,,,2,5,,
2014/02/06,09,8,,,2,6,,
2014/02/06,10,11,,,4,7,,
2014/02/06,11,56,,,26,30,,
2014/02/06,12,49,,,18,31,,
2014/02/06,13,48,,,18,30,,
2014/02/06,14,48,,,18,30,,
2014/02/06,15,58,,,30,28,,
2014/02/06,16,65,,,33,32,,
2014/02/06,17,55,,,28,27,,
2014/02/06,18,46,,,21,25,,
2014/02/06,19,46,,,22,24,,
2014/02/06,20,44,,,23,21,,
2014/02/06,21,53,,,29,24,,
2014/02/06,22,43,,,22,21,,
2014/02/06,23,12,,,5,7,,
2014/02/06,24,10,,,5,5,,
2014/02/07,01,10,,,5,5,,
2014/02/07,02,9,,,4,5,,
2014/02/07,03,10,,,5,5,,
2014/02/07,04,10,,,5,5,,
2014/02/07,05,10,,,5,5,,
2014/02/07,06,10,,,5,5,,
2014/02/07,07,9,,,5,4,,
2014/02/07,08,9,,,4,5,,
2014/02/07,09,9,,,4,5,,
2014/02/07,10,15,,,9,5,,
2014/02/07,11,48,,,34,14,,
2014/02/07,12,49,,,32,17,,
2014/02/07,13,46,,,29,16,,
2014/02/07,14,43,,,26,17,,
2014/02/07,15,48,,,26,22,,
2014/02/07,16,63,,,30,33,,
2014/02/07,17,63,,,27,36,,
2014/02/07,18,59,,,26,33,,
2014/02/07,19,61,,,29,32,,
2014/02/07,20,59,,,28,31,,
2014/02/07,21,58,,,27,31,,
2014/02/07,22,59,,,28,31,,
2014/02/07,23,27,,,7,20,,
2014/02/07,24,10,,,5,5,,
2014/02/08,01,10,,,5,5,,
2014/02/08,02,9,,,4,5,,
2014/02/08,03,10,,,4,5,,
2014/02/08,04,10,,,4,5,,
2014/02/08,05,9,,,4,5,,
2014/02/08,06,9,,,4,5,,
2014/02/08,07,10,,,5,5,,
2014/02/08,08,25,,,18,7,,
2014/02/08,09,93,,,57,36,,
2014/02/08,10,101,,,63,38,,
2014/02/08,11,97,,,56,41,,
2014/02/08,12,95,,,56,39,,
2014/02/08,13,89,,,51,38,,
2014/02/08,14,93,,,52,41,,
2014/02/08,15,87,,,47,40,,
2014/02/08,16,85,,,47,37,,
2014/02/08,17,85,,,50,35,,
2014/02/08,18,60,,,33,27,,
2014/02/08,19,41,,,27,14,,
2014/02/08,20,9,,,4,5,,
2014/02/08,21,10,,,5,5,,
2014/02/08,22,10,,,5,5,,
2014/02/08,23,10,,,5,5,,
2014/02/08,24,8,,,5,3,,
2014/02/09,01,8,,,5,3,,
2014/02/09,02,8,,,5,3,,
2014/02/09,03,7,,,4,3,,
2014/02/09,04,6,,,3,3,,
2014/02/09,05,6,,,3,3,,
2014/02/09,06,7,,,4,3,,
2014/02/09,07,6,,,3,3,,
2014/02/09,08,6,,,2,3,,
2014/02/09,09,12,,,2,10,,
2014/02/09,10,44,,,25,18,,
2014/02/09,11,62,,,32,30,,
2014/02/09,12,65,,,33,32,,
2014/02/09,13,66,,,31,35,,
2014/02/09,14,60,,,27,33,,
2014/02/09,15,61,,,27,34,,
2014/02/09,16,61,,,26,34,,
2014/02/09,17,58,,,25,33,,
2014/02/09,18,54,,,24,30,,
2014/02/09,19,55,,,22,33,,
2014/02/09,20,61,,,26,35,,
2014/02/09,21,30,,,8,22,,
2014/02/09,22,15,,,6,9,,
2014/02/09,23,7,,,2,5,,
2014/02/09,24,6,,,3,3,,
2014/02/10,01,6,,,3,3,,
2014/02/10,02,5,,,2,3,,
2014/02/10,03,5,,,2,3,,
2014/02/10,04,6,,,2,3,,
2014/02/10,05,5,,,2,3,,
2014/02/10,06,5,,,2,3,,
2014/02/10,07,5,,,2,3,,
2014/02/10,08,5,,,2,3,,
2014/02/10,09,5,,,2,3,,
2014/02/10,10,7,,,3,4,,
2014/02/10,11,50,,,25,25,,
2014/02/10,12,48,,,21,27,,
2014/02/10,13,46,,,19,27,,
2014/02/10,14,44,,,17,27,,
2014/02/10,15,45,,,19,26,,
2014/02/10,16,44,,,18,26,,
2014/02/10,17,39,,,15,23,,
2014/02/10,18,41,,,16,24,,
2014/02/10,19,41,,,16,25,,
2014/02/10,20,24,,,10,14,,
2014/02/10,21,10,,,2,8,,
2014/02/10,22,9,,,3,6,,
2014/02/10,23,7,,,2,5,,
2014/02/10,24,5,,,2,3,,
2014/02/11,01,5,,,2,3,,
2014/02/11,02,5,,,2,3,,
2014/02/11,03,5,,,2,3,,
2014/02/11,04,5,,,2,3,,
2014/02/11,05,5,,,2,3,,
2014/02/11,06,5,,,2,3,,
2014/02/11,07,5,,,2,3,,
2014/02/11,08,5,,,2,3,,
2014/02/11,09,5,,,2,3,,
2014/02/11,10,9,,,5,4,,
2014/02/11,11,53,,,37,16,,
2014/02/11,12,68,,,40,28,,
2014/02/11,13,60,,,38,22,,
2014/02/11,14,53,,,35,18,,
2014/02/11,15,53,,,35,18,,
2014/02/11,16,67,,,37,29,,
2014/02/11,17,51,,,30,20,,
2014/02/11,18,49,,,29,20,,
2014/02/11,19,45,,,26,19,,
2014/02/11,20,40,,,22,18,,
2014/02/11,21,39,,,21,18,,
2014/02/11,22,37,,,21,16,,
2014/02/11,23,10,,,5,5,,
2014/02/11,24,8,,,5,3,,
2014/02/12,01,8,,,5,3,,
2014/02/12,02,7,,,4,3,,
2014/02/12,03,8,,,4,3,,
2014/02/12,04,8,,,5,3,,
2014/02/12,05,8,,,5,3,,
2014/02/12,06,8,,,5,3,,
2014/02/12,07,8,,,5,3,,
2014/02/12,08,7,,,4,3,,
2014/02/12,09,7,,,4,3,,
2014/02/12,10,12,,,7,5,,
2014/02/12,11,45,,,31,14,,
2014/02/12,12,40,,,25,14,,
2014/02/12,13,42,,,25,17,,
2014/02/12,14,53,,,28,25,,
2014/02/12,15,46,,,27,19,,
2014/02/12,16,47,,,26,21,,
2014/02/12,17,57,,,27,30,,
2014/02/12,18,54,,,27,27,,
2014/02/12,19,56,,,28,28,,
2014/02/12,20,55,,,27,27,,
2014/02/12,21,55,,,26,29,,
2014/02/12,22,52,,,22,30,,
2014/02/12,23,18,,,4,14,,
2014/02/12,24,6,,,3,3,,
2014/02/13,01,6,,,3,3,,
2014/02/13,02,5,,,2,3,,
2014/02/13,03,6,,,2,3,,
2014/02/13,04,6,,,2,3,,
2014/02/13,05,6,,,2,3,,
2014/02/13,06,5,,,2,3,,
2014/02/13,07,6,,,3,3,,
2014/02/13,08,5,,,2,3,,
2014/02/13,09,5,,,2,3,,
2014/02/13,10,62,,,37,25,,
2014/02/13,11,61,,,28,33,,
2014/02/13,12,60,,,26,34,,
2014/02/13,13,55,,,21,34,,
2014/02/13,14,54,,,19,35,,
2014/02/13,15,54,,,19,35,,
2014/02/13,16,53,,,18,35,,
2014/02/13,17,61,,,24,37,,
2014/02/13,18,56,,,20,36,,
2014/02/13,19,53,,,17,36,,
2014/02/13,20,44,,,8,36,,
2014/02/13,21,45,,,10,35,,
2014/02/13,22,44,,,11,33,,
2014/02/13,23,12,,,4,8,,
2014/02/13,24,8,,,5,3,,
2014/02/14,01,8,,,5,3,,
2014/02/14,02,7,,,4,3,,
2014/02/14,03,7,,,4,3,,
2014/02/14,04,8,,,5,3,,
2014/02/14,05,7,,,4,3,,
2014/02/14,06,7,,,4,3,,
2014/02/14,07,8,,,5,3,,
2014/02/14,08,7,,,4,3,,
2014/02/14,09,7,,,4,3,,
2014/02/14,10,11,,,7,4,,
2014/02/14,11,58,,,42,16,,
2014/02/14,12,57,,,41,16,,
2014/02/14,13,51,,,34,17,,
2014/02/14,14,56,,,37,19,,
2014/02/14,15,51,,,32,19,,
2014/02/14,16,58,,,38,20,,
2014/02/14,17,54,,,33,21,,
2014/02/14,18,67,,,36,31,,
2014/02/14,19,73,,,40,33,,
2014/02/14,20,73,,,39,33,,
2014/02/14,21,71,,,37,34,,
2014/02/14,22,71,,,37,34,,
2014/02/14,23,74,,,41,33,,
2014/02/14,24,25,,,11,14,,
2014/02/15,01,8,,,5,3,,
2014/02/15,02,8,,,4,4,,
2014/02/15,03,9,,,5,4,,
2014/02/15,04,8,,,4,4,,
2014/02/15,05,8,,,4,4,,
2014/02/15,06,8,,,5,3,,
2014/02/15,07,8,,,5,3,,
2014/02/15,08,8,,,4,3,,
2014/02/15,09,8,,,4,4,,
2014/02/15,10,8,,,4,4,,
2014/02/15,11,33,,,21,12,,
2014/02/15,12,56,,,32,24,,
2014/02/15,13,62,,,32,30,,
2014/02/15,14,59,,,28,31,,
2014/02/15,15,55,,,26,29,,
2014/02/15,16,57,,,25,32,,
2014/02/15,17,56,,,26,30,,
2014/02/15,18,71,,,35,36,,
2014/02/15,19,72,,,35,37,,
2014/02/15,20,58,,,23,35,,
2014/02/15,21,50,,,16,34,,
2014/02/15,22,47,,,13,34,,
2014/02/15,23,38,,,7,31,,
2014/02/15,24,9,,,5,4,,
2014/02/16,01,8,,,5,3,,
2014/02/16,02,8,,,5,3,,
2014/02/16,03,8,,,4,3,,
2014/02/16,04,8,,,5,3,,
2014/02/16,05,8,,,5,3,,
2014/02/16,06,7,,,4,3,,
2014/02/16,07,8,,,5,3,,
2014/02/16,08,7,,,4,3,,
2014/02/16,09,27,,,16,11,,
2014/02/16,10,59,,,29,30,,
2014/02/16,11,60,,,28,32,,
2014/02/16,12,63,,,29,34,,
2014/02/16,13,60,,,24,36,,
2014/02/16,14,58,,,24,34,,
2014/02/16,15,61,,,26,35,,
2014/02/16,16,57,,,22,35,,
2014/02/16,17,66,,,28,38,,
2014/02/16,18,64,,,28,36,,
2014/02/16,19,61,,,26,35,,
2014/02/16,20,56,,,24,32,,
2014/02/16,21,56,,,25,31,,
2014/02/16,22,36,,,15,20,,
2014/02/16,23,11,,,5,6,,
2014/02/16,24,9,,,5,4,,
2014/02/17,01,9,,,5,4,,
2014/02/17,02,9,,,5,4,,
2014/02/17,03,8,,,4,4,,
2014/02/17,04,9,,,5,4,,
2014/02/17,05,8,,,4,4,,
2014/02/17,06,8,,,4,4,,
2014/02/17,07,7,,,3,4,,
2014/02/17,08,17,,,2,15,,
2014/02/17,09,27,,,2,25,,
2014/02/17,10,30,,,3,27,,
2014/02/17,11,20,,,2,18,,
2014/02/17,12,38,,,22,16,,
2014/02/17,13,45,,,17,28,,
2014/02/17,14,41,,,12,29,,
2014/02/17,15,41,,,12,28,,
2014/02/17,16,40,,,12,28,,
2014/02/17,17,40,,,21,19,,
2014/02/17,18,53,,,21,32,,
2014/02/17,19,50,,,19,31,,
2014/02/17,20,54,,,22,32,,
2014/02/17,21,55,,,22,32,,
2014/02/17,22,43,,,11,31,,
2014/02/17,23,37,,,7,30,,
2014/02/17,24,30,,,7,23,,
2014/02/18,01,7,,,3,4,,
2014/02/18,02,5,,,2,3,,
2014/02/18,03,5,,,2,3,,
2014/02/18,04,6,,,3,3,,
2014/02/18,05,6,,,3,3,,
2014/02/18,06,5,,,2,3,,
2014/02/18,07,6,,,3,3,,
2014/02/18,08,5,,,2,3,,
2014/02/18,09,5,,,2,3,,
2014/02/18,10,6,,,2,3,,
2014/02/18,11,19,,,11,8,,
2014/02/18,12,34,,,23,11,,
2014/02/18,13,32,,,21,11,,
2014/02/18,14,32,,,19,12,,
2014/02/18,15,30,,,17,13,,
2014/02/18,16,31,,,18,13,,
2014/02/18,17,31,,,16,15,,
2014/02/18,18,34,,,19,15,,
2014/02/18,19,32,,,19,13,,
2014/02/18,20,31,,,18,13,,
2014/02/18,21,31,,,18,12,,
2014/02/18,22,14,,,7,7,,
2014/02/18,23,7,,,2,5,,
2014/02/18,24,5,,,2,3,,
2014/02/19,01,5,,,2,3,,
2014/02/19,02,5,,,2,3,,
2014/02/19,03,5,,,2,3,,
2014/02/19,04,5,,,2,3,,
2014/02/19,05,5,,,2,3,,
2014/02/19,06,5,,,2,3,,
2014/02/19,07,5,,,2,3,,
2014/02/19,08,5,,,2,3,,
2014/02/19,09,5,,,2,3,,
2014/02/19,10,7,,,3,4,,
2014/02/19,11,24,,,13,11,,
2014/02/19,12,21,,,11,10,,
2014/02/19,13,20,,,10,9,,
2014/02/19,14,21,,,9,11,,
2014/02/19,15,21,,,10,11,,
2014/02/19,16,22,,,11,11,,
2014/02/19,17,25,,,11,13,,
2014/02/19,18,28,,,11,17,,
2014/02/19,19,27,,,13,14,,
2014/02/19,20,26,,,13,13,,
2014/02/19,21,26,,,14,12,,
2014/02/19,22,10,,,4,6,,
2014/02/19,23,9,,,4,5,,
2014/02/19,24,7,,,4,3,,
2014/02/20,01,7,,,4,3,,
2014/02/20,02,7,,,4,3,,
2014/02/20,03,7,,,4,3,,
2014/02/20,04,7,,,4,3,,
2014/02/20,05,7,,,4,3,,
2014/02/20,06,6,,,3,3,,
2014/02/20,07,6,,,3,3,,
2014/02/20,08,7,,,4,3,,
2014/02/20,09,6,,,3,3,,
2014/02/20,10,7,,,3,4,,
2014/02/20,11,63,,,38,25,,
2014/02/20,12,57,,,32,25,,
2014/02/20,13,57,,,32,25,,
2014/02/20,14,51,,,24,26,,
2014/02/20,15,49,,,24,25,,
2014/02/20,16,34,,,17,17,,
2014/02/20,17,36,,,18,18,,
2014/02/20,18,43,,,20,23,,
2014/02/20,19,62,,,29,32,,
2014/02/20,20,62,,,29,33,,
2014/02/20,21,61,,,28,33,,
2014/02/20,22,54,,,22,31,,
2014/02/20,23,53,,,22,31,,
2014/02/20,24,49,,,21,28,,
2014/02/21,01,43,,,16,27,,
2014/02/21,02,20,,,6,13,,
2014/02/21,03,6,,,3,3,,
2014/02/21,04,6,,,3,3,,
2014/02/21,05,6,,,3,3,,
2014/02/21,06,6,,,3,3,,
2014/02/21,07,6,,,3,3,,
2014/02/21,08,5,,,2,3,,
2014/02/21,09,5,,,2,3,,
2014/02/21,10,6,,,3,3,,
2014/02/21,11,44,,,26,18,,
2014/02/21,12,46,,,19,27,,
2014/02/21,13,46,,,19,27,,
2014/02/21,14,45,,,17,28,,
2014/02/21,15,44,,,17,27,,
2014/02/21,16,43,,,16,27,,
2014/02/21,17,47,,,18,29,,
2014/02/21,18,48,,,19,29,,
2014/02/21,19,36,,,19,17,,
2014/02/21,20,34,,,20,14,,
2014/02/21,21,14,,,7,7,,
2014/02/21,22,10,,,4,5,,
2014/02/21,23,10,,,4,5,,
2014/02/21,24,7,,,4,3,,
