計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/09/01,01,9,,,2,4,,
2013/09/01,02,8,,,2,5,,
2013/09/01,03,9,,,2,4,,
2013/09/01,04,8,,,2,4,,
2013/09/01,05,9,,,2,4,,
2013/09/01,06,9,,,2,5,,
2013/09/01,07,9,,,3,5,,
2013/09/01,08,9,,,3,5,,
2013/09/01,09,67,,,58,7,,
2013/09/01,10,86,,,43,42,,
2013/09/01,11,149,,,51,96,,
2013/09/01,12,161,,,62,97,,
2013/09/01,13,165,,,66,97,,
2013/09/01,14,167,,,68,98,,
2013/09/01,15,173,,,71,100,,
2013/09/01,16,172,,,65,106,,
2013/09/01,17,164,,,56,106,,
2013/09/01,18,149,,,46,102,,
2013/09/01,19,148,,,45,102,,
2013/09/01,20,147,,,44,101,,
2013/09/01,21,141,,,39,100,,
2013/09/01,22,39,,,10,27,,
2013/09/01,23,7,,,1,4,,
2013/09/01,24,8,,,2,4,,
2013/09/02,01,8,,,2,4,,
2013/09/02,02,9,,,2,4,,
2013/09/02,03,8,,,2,4,,
2013/09/02,04,9,,,2,4,,
2013/09/02,05,8,,,2,4,,
2013/09/02,06,9,,,2,4,,
2013/09/02,07,9,,,2,5,,
2013/09/02,08,9,,,3,4,,
2013/09/02,09,22,,,14,6,,
2013/09/02,10,63,,,30,31,,
2013/09/02,11,133,,,31,101,,
2013/09/02,12,139,,,36,101,,
2013/09/02,13,147,,,43,102,,
2013/09/02,14,151,,,48,101,,
2013/09/02,15,149,,,46,101,,
2013/09/02,16,146,,,44,101,,
2013/09/02,17,143,,,42,99,,
2013/09/02,18,138,,,40,96,,
2013/09/02,19,144,,,39,103,,
2013/09/02,20,138,,,35,101,,
2013/09/02,21,119,,,16,100,,
2013/09/02,22,23,,,2,20,,
2013/09/02,23,8,,,2,4,,
2013/09/02,24,8,,,2,4,,
2013/09/03,01,8,,,2,4,,
2013/09/03,02,9,,,2,4,,
2013/09/03,03,8,,,2,4,,
2013/09/03,04,8,,,2,4,,
2013/09/03,05,8,,,2,4,,
2013/09/03,06,9,,,2,4,,
2013/09/03,07,9,,,2,5,,
2013/09/03,08,8,,,3,4,,
2013/09/03,09,27,,,19,6,,
2013/09/03,10,72,,,40,31,,
2013/09/03,11,138,,,39,98,,
2013/09/03,12,147,,,46,98,,
2013/09/03,13,154,,,52,100,,
2013/09/03,14,149,,,47,100,,
2013/09/03,15,160,,,56,101,,
2013/09/03,16,157,,,54,101,,
2013/09/03,17,154,,,52,99,,
2013/09/03,18,145,,,46,97,,
2013/09/03,19,146,,,42,102,,
2013/09/03,20,144,,,41,101,,
2013/09/03,21,142,,,39,101,,
2013/09/03,22,30,,,14,14,,
2013/09/03,23,7,,,1,4,,
2013/09/03,24,8,,,1,4,,
2013/09/04,01,9,,,3,4,,
2013/09/04,02,7,,,1,4,,
2013/09/04,03,8,,,2,4,,
2013/09/04,04,9,,,2,4,,
2013/09/04,05,9,,,3,4,,
2013/09/04,06,8,,,2,4,,
2013/09/04,07,8,,,2,4,,
2013/09/04,08,9,,,3,4,,
2013/09/04,09,36,,,27,8,,
2013/09/04,10,77,,,27,48,,
2013/09/04,11,142,,,37,103,,
2013/09/04,12,138,,,37,98,,
2013/09/04,13,144,,,44,99,,
2013/09/04,14,145,,,43,99,,
2013/09/04,15,149,,,48,99,,
2013/09/04,16,148,,,47,99,,
2013/09/04,17,143,,,45,96,,
2013/09/04,18,139,,,40,96,,
2013/09/04,19,143,,,40,102,,
2013/09/04,20,142,,,39,101,,
2013/09/04,21,140,,,38,100,,
2013/09/04,22,46,,,16,29,,
2013/09/04,23,7,,,1,4,,
2013/09/04,24,8,,,2,4,,
2013/09/05,01,8,,,2,4,,
2013/09/05,02,7,,,2,4,,
2013/09/05,03,8,,,2,4,,
2013/09/05,04,8,,,2,4,,
2013/09/05,05,8,,,2,4,,
2013/09/05,06,8,,,1,4,,
2013/09/05,07,8,,,2,4,,
2013/09/05,08,8,,,3,4,,
2013/09/05,09,53,,,36,15,,
2013/09/05,10,76,,,26,49,,
2013/09/05,11,132,,,30,100,,
2013/09/05,12,136,,,34,100,,
2013/09/05,13,142,,,40,101,,
2013/09/05,14,142,,,39,101,,
2013/09/05,15,143,,,40,101,,
2013/09/05,16,146,,,43,101,,
2013/09/05,17,142,,,41,99,,
2013/09/05,18,139,,,39,97,,
2013/09/05,19,142,,,37,104,,
2013/09/05,20,143,,,38,102,,
2013/09/05,21,138,,,35,101,,
2013/09/05,22,49,,,12,34,,
2013/09/05,23,7,,,1,4,,
2013/09/05,24,8,,,2,4,,
2013/09/06,01,8,,,2,4,,
2013/09/06,02,7,,,1,4,,
2013/09/06,03,8,,,2,4,,
2013/09/06,04,9,,,3,4,,
2013/09/06,05,8,,,2,4,,
2013/09/06,06,8,,,2,4,,
2013/09/06,07,8,,,2,4,,
2013/09/06,08,9,,,3,4,,
2013/09/06,09,24,,,16,6,,
2013/09/06,10,52,,,19,31,,
2013/09/06,11,124,,,22,100,,
2013/09/06,12,127,,,25,100,,
2013/09/06,13,128,,,26,101,,
2013/09/06,14,129,,,27,101,,
2013/09/06,15,130,,,27,100,,
2013/09/06,16,131,,,29,100,,
2013/09/06,17,129,,,27,100,,
2013/09/06,18,126,,,26,98,,
2013/09/06,19,131,,,25,103,,
2013/09/06,20,127,,,24,102,,
2013/09/06,21,128,,,24,102,,
2013/09/06,22,46,,,12,32,,
2013/09/06,23,7,,,1,4,,
2013/09/06,24,8,,,2,4,,
2013/09/07,01,9,,,2,4,,
2013/09/07,02,8,,,2,4,,
2013/09/07,03,7,,,2,4,,
2013/09/07,04,9,,,2,4,,
2013/09/07,05,8,,,2,4,,
2013/09/07,06,8,,,2,4,,
2013/09/07,07,8,,,2,4,,
2013/09/07,08,8,,,3,4,,
2013/09/07,09,10,,,3,5,,
2013/09/07,10,46,,,14,30,,
2013/09/07,11,122,,,23,98,,
2013/09/07,12,127,,,26,98,,
2013/09/07,13,135,,,34,99,,
2013/09/07,14,137,,,36,99,,
2013/09/07,15,136,,,36,99,,
2013/09/07,16,138,,,34,101,,
2013/09/07,17,135,,,35,99,,
2013/09/07,18,136,,,35,99,,
2013/09/07,19,139,,,34,104,,
2013/09/07,20,136,,,31,103,,
2013/09/07,21,133,,,29,102,,
2013/09/07,22,18,,,2,13,,
2013/09/07,23,8,,,2,4,,
2013/09/07,24,8,,,2,4,,
2013/09/08,01,8,,,2,4,,
2013/09/08,02,8,,,2,5,,
2013/09/08,03,9,,,3,4,,
2013/09/08,04,9,,,2,4,,
2013/09/08,05,8,,,1,4,,
2013/09/08,06,8,,,2,4,,
2013/09/08,07,9,,,3,5,,
2013/09/08,08,9,,,2,5,,
2013/09/08,09,43,,,22,18,,
2013/09/08,10,70,,,22,47,,
2013/09/08,11,128,,,27,99,,
2013/09/08,12,132,,,29,100,,
2013/09/08,13,136,,,32,102,,
2013/09/08,14,136,,,31,103,,
2013/09/08,15,140,,,35,103,,
2013/09/08,16,138,,,33,104,,
2013/09/08,17,132,,,29,101,,
2013/09/08,18,131,,,29,99,,
2013/09/08,19,132,,,26,104,,
2013/09/08,20,130,,,25,103,,
2013/09/08,21,128,,,24,103,,
2013/09/08,22,24,,,5,17,,
2013/09/08,23,8,,,2,4,,
2013/09/08,24,8,,,2,4,,
2013/09/09,01,8,,,1,4,,
2013/09/09,02,8,,,2,5,,
2013/09/09,03,9,,,2,4,,
2013/09/09,04,9,,,3,4,,
2013/09/09,05,8,,,1,4,,
2013/09/09,06,8,,,2,4,,
2013/09/09,07,10,,,3,4,,
2013/09/09,08,9,,,3,4,,
2013/09/09,09,13,,,6,5,,
2013/09/09,10,52,,,18,31,,
2013/09/09,11,124,,,25,98,,
2013/09/09,12,127,,,28,98,,
2013/09/09,13,133,,,32,99,,
2013/09/09,14,132,,,34,97,,
2013/09/09,15,133,,,34,98,,
2013/09/09,16,133,,,34,98,,
2013/09/09,17,134,,,34,98,,
2013/09/09,18,133,,,32,100,,
2013/09/09,19,133,,,28,104,,
2013/09/09,20,127,,,24,101,,
2013/09/09,21,126,,,23,101,,
2013/09/09,22,37,,,10,25,,
2013/09/09,23,8,,,2,4,,
2013/09/09,24,7,,,2,4,,
2013/09/10,01,8,,,2,4,,
2013/09/10,02,9,,,2,5,,
2013/09/10,03,8,,,2,4,,
2013/09/10,04,9,,,2,4,,
2013/09/10,05,8,,,2,4,,
2013/09/10,06,9,,,2,4,,
2013/09/10,07,9,,,2,5,,
2013/09/10,08,9,,,3,4,,
2013/09/10,09,11,,,4,6,,
2013/09/10,10,42,,,12,28,,
2013/09/10,11,127,,,27,98,,
2013/09/10,12,129,,,30,98,,
2013/09/10,13,136,,,35,98,,
2013/09/10,14,134,,,35,98,,
2013/09/10,15,136,,,36,98,,
2013/09/10,16,136,,,37,97,,
2013/09/10,17,137,,,37,99,,
2013/09/10,18,134,,,33,98,,
2013/09/10,19,135,,,31,102,,
2013/09/10,20,132,,,30,101,,
2013/09/10,21,130,,,28,100,,
2013/09/10,22,23,,,7,14,,
2013/09/10,23,8,,,2,4,,
2013/09/10,24,8,,,2,4,,
2013/09/11,01,8,,,2,4,,
2013/09/11,02,9,,,2,4,,
2013/09/11,03,8,,,2,4,,
2013/09/11,04,9,,,2,5,,
2013/09/11,05,8,,,2,4,,
2013/09/11,06,9,,,2,5,,
2013/09/11,07,9,,,2,5,,
2013/09/11,08,8,,,2,4,,
2013/09/11,09,9,,,2,5,,
2013/09/11,10,44,,,14,28,,
2013/09/11,11,132,,,30,101,,
2013/09/11,12,136,,,34,101,,
2013/09/11,13,141,,,39,100,,
2013/09/11,14,142,,,40,100,,
2013/09/11,15,144,,,42,100,,
2013/09/11,16,136,,,35,99,,
2013/09/11,17,136,,,36,98,,
2013/09/11,18,136,,,34,99,,
2013/09/11,19,135,,,31,102,,
2013/09/11,20,136,,,31,102,,
2013/09/11,21,133,,,29,101,,
2013/09/11,22,54,,,11,41,,
2013/09/11,23,35,,,2,32,,
2013/09/11,24,19,,,2,15,,
2013/09/12,01,8,,,2,4,,
2013/09/12,02,8,,,2,4,,
2013/09/12,03,8,,,2,4,,
2013/09/12,04,8,,,2,4,,
2013/09/12,05,9,,,2,4,,
2013/09/12,06,8,,,2,4,,
2013/09/12,07,9,,,3,4,,
2013/09/12,08,30,,,13,15,,
2013/09/12,09,55,,,18,36,,
2013/09/12,10,70,,,22,46,,
2013/09/12,11,134,,,34,98,,
2013/09/12,12,135,,,35,98,,
2013/09/12,13,138,,,38,98,,
2013/09/12,14,139,,,41,97,,
2013/09/12,15,141,,,42,97,,
2013/09/12,16,144,,,44,99,,
2013/09/12,17,142,,,43,97,,
2013/09/12,18,139,,,39,99,,
2013/09/12,19,139,,,36,101,,
2013/09/12,20,139,,,35,101,,
2013/09/12,21,136,,,33,102,,
2013/09/12,22,40,,,10,28,,
2013/09/12,23,8,,,1,5,,
2013/09/12,24,9,,,2,5,,
2013/09/13,01,8,,,2,5,,
2013/09/13,02,9,,,2,5,,
2013/09/13,03,8,,,2,4,,
2013/09/13,04,9,,,2,5,,
2013/09/13,05,8,,,2,4,,
2013/09/13,06,9,,,2,5,,
2013/09/13,07,9,,,2,5,,
2013/09/13,08,9,,,3,4,,
2013/09/13,09,24,,,16,6,,
2013/09/13,10,66,,,34,30,,
2013/09/13,11,134,,,35,97,,
2013/09/13,12,140,,,40,97,,
2013/09/13,13,142,,,43,98,,
2013/09/13,14,144,,,45,97,,
2013/09/13,15,147,,,47,97,,
2013/09/13,16,144,,,46,97,,
2013/09/13,17,146,,,46,97,,
2013/09/13,18,143,,,44,98,,
2013/09/13,19,141,,,38,102,,
2013/09/13,20,139,,,36,101,,
2013/09/13,21,135,,,33,100,,
2013/09/13,22,43,,,15,26,,
2013/09/13,23,7,,,1,5,,
2013/09/13,24,8,,,1,5,,
2013/09/14,01,9,,,2,5,,
2013/09/14,02,8,,,2,5,,
2013/09/14,03,9,,,2,4,,
2013/09/14,04,9,,,2,5,,
2013/09/14,05,8,,,2,5,,
2013/09/14,06,9,,,2,5,,
2013/09/14,07,8,,,2,5,,
2013/09/14,08,10,,,3,4,,
2013/09/14,09,11,,,4,5,,
2013/09/14,10,70,,,39,29,,
2013/09/14,11,139,,,39,98,,
2013/09/14,12,143,,,43,98,,
2013/09/14,13,144,,,44,98,,
2013/09/14,14,144,,,44,98,,
2013/09/14,15,147,,,47,98,,
2013/09/14,16,148,,,47,99,,
2013/09/14,17,146,,,46,99,,
2013/09/14,18,144,,,44,99,,
2013/09/14,19,146,,,41,103,,
2013/09/14,20,143,,,39,102,,
2013/09/14,21,140,,,36,102,,
2013/09/14,22,37,,,11,24,,
2013/09/14,23,7,,,1,4,,
2013/09/14,24,8,,,1,4,,
2013/09/15,01,8,,,2,4,,
2013/09/15,02,9,,,2,4,,
2013/09/15,03,8,,,2,4,,
2013/09/15,04,8,,,2,4,,
2013/09/15,05,9,,,2,4,,
2013/09/15,06,8,,,2,5,,
2013/09/15,07,9,,,2,5,,
2013/09/15,08,8,,,2,4,,
2013/09/15,09,24,,,15,7,,
2013/09/15,10,53,,,22,29,,
2013/09/15,11,131,,,28,101,,
2013/09/15,12,136,,,32,102,,
2013/09/15,13,141,,,38,102,,
2013/09/15,14,141,,,38,100,,
2013/09/15,15,141,,,38,100,,
2013/09/15,16,144,,,42,100,,
2013/09/15,17,142,,,42,98,,
2013/09/15,18,144,,,41,101,,
2013/09/15,19,142,,,38,103,,
2013/09/15,20,140,,,35,102,,
2013/09/15,21,137,,,34,101,,
2013/09/15,22,53,,,15,36,,
2013/09/15,23,8,,,1,4,,
2013/09/15,24,8,,,2,4,,
2013/09/16,01,8,,,2,4,,
2013/09/16,02,9,,,2,4,,
2013/09/16,03,8,,,2,4,,
2013/09/16,04,9,,,2,4,,
2013/09/16,05,9,,,2,4,,
2013/09/16,06,8,,,2,4,,
2013/09/16,07,9,,,2,5,,
2013/09/16,08,11,,,5,4,,
2013/09/16,09,63,,,35,26,,
2013/09/16,10,79,,,29,49,,
2013/09/16,11,149,,,46,102,,
2013/09/16,12,154,,,49,103,,
2013/09/16,13,144,,,39,103,,
2013/09/16,14,138,,,34,103,,
2013/09/16,15,138,,,33,103,,
2013/09/16,16,141,,,36,102,,
2013/09/16,17,136,,,34,100,,
2013/09/16,18,136,,,32,102,,
2013/09/16,19,127,,,22,103,,
2013/09/16,20,110,,,7,101,,
2013/09/16,21,111,,,8,100,,
2013/09/16,22,34,,,3,29,,
2013/09/16,23,8,,,1,4,,
2013/09/16,24,7,,,1,4,,
2013/09/17,01,9,,,2,4,,
2013/09/17,02,9,,,2,5,,
2013/09/17,03,8,,,2,4,,
2013/09/17,04,8,,,2,4,,
2013/09/17,05,8,,,2,4,,
2013/09/17,06,9,,,2,5,,
2013/09/17,07,10,,,3,5,,
2013/09/17,08,10,,,3,5,,
2013/09/17,09,14,,,7,6,,
2013/09/17,10,53,,,10,40,,
2013/09/17,11,118,,,20,96,,
2013/09/17,12,122,,,23,97,,
2013/09/17,13,125,,,26,97,,
2013/09/17,14,126,,,28,97,,
2013/09/17,15,127,,,28,96,,
2013/09/17,16,130,,,31,99,,
2013/09/17,17,128,,,30,96,,
2013/09/17,18,129,,,28,99,,
2013/09/17,19,130,,,26,102,,
2013/09/17,20,127,,,24,100,,
2013/09/17,21,126,,,24,100,,
2013/09/17,22,27,,,6,19,,
2013/09/17,23,8,,,1,5,,
2013/09/17,24,7,,,1,5,,
2013/09/18,01,9,,,2,5,,
2013/09/18,02,9,,,2,5,,
2013/09/18,03,9,,,2,5,,
2013/09/18,04,8,,,2,5,,
2013/09/18,05,9,,,2,5,,
2013/09/18,06,9,,,2,5,,
2013/09/18,07,9,,,3,5,,
2013/09/18,08,10,,,3,5,,
2013/09/18,09,16,,,8,6,,
2013/09/18,10,57,,,10,44,,
2013/09/18,11,116,,,18,97,,
2013/09/18,12,118,,,20,97,,
2013/09/18,13,125,,,25,97,,
2013/09/18,14,129,,,30,97,,
2013/09/18,15,128,,,29,97,,
2013/09/18,16,130,,,30,98,,
2013/09/18,17,127,,,29,96,,
2013/09/18,18,128,,,27,99,,
2013/09/18,19,128,,,26,101,,
2013/09/18,20,127,,,24,101,,
2013/09/18,21,126,,,22,102,,
2013/09/18,22,27,,,7,18,,
2013/09/18,23,7,,,1,4,,
2013/09/18,24,8,,,1,4,,
2013/09/19,01,8,,,2,4,,
2013/09/19,02,9,,,2,5,,
2013/09/19,03,8,,,2,4,,
2013/09/19,04,8,,,2,4,,
2013/09/19,05,8,,,2,4,,
2013/09/19,06,10,,,2,5,,
2013/09/19,07,9,,,3,5,,
2013/09/19,08,9,,,3,4,,
2013/09/19,09,20,,,12,6,,
2013/09/19,10,44,,,12,30,,
2013/09/19,11,121,,,22,97,,
2013/09/19,12,124,,,25,97,,
2013/09/19,13,127,,,27,98,,
2013/09/19,14,129,,,29,98,,
2013/09/19,15,128,,,29,97,,
2013/09/19,16,130,,,30,98,,
2013/09/19,17,128,,,30,97,,
2013/09/19,18,130,,,28,100,,
2013/09/19,19,131,,,26,102,,
2013/09/19,20,127,,,25,101,,
2013/09/19,21,127,,,23,102,,
2013/09/19,22,69,,,2,66,,
2013/09/19,23,8,,,2,5,,
2013/09/19,24,8,,,1,4,,
2013/09/20,01,9,,,2,4,,
2013/09/20,02,8,,,2,5,,
2013/09/20,03,9,,,2,4,,
2013/09/20,04,8,,,2,4,,
2013/09/20,05,8,,,2,4,,
2013/09/20,06,9,,,2,5,,
2013/09/20,07,9,,,2,5,,
2013/09/20,08,10,,,3,4,,
2013/09/20,09,11,,,4,6,,
2013/09/20,10,44,,,12,30,,
2013/09/20,11,119,,,20,97,,
2013/09/20,12,124,,,24,97,,
2013/09/20,13,129,,,29,98,,
2013/09/20,14,130,,,31,98,,
2013/09/20,15,131,,,32,97,,
2013/09/20,16,132,,,32,98,,
2013/09/20,17,132,,,32,97,,
2013/09/20,18,131,,,29,100,,
2013/09/20,19,130,,,27,101,,
2013/09/20,20,127,,,25,100,,
2013/09/20,21,127,,,25,101,,
2013/09/20,22,24,,,8,14,,
2013/09/20,23,8,,,1,4,,
2013/09/20,24,7,,,1,4,,
2013/09/21,01,8,,,2,4,,
2013/09/21,02,10,,,2,5,,
2013/09/21,03,8,,,2,4,,
2013/09/21,04,8,,,2,4,,
2013/09/21,05,8,,,2,4,,
2013/09/21,06,9,,,2,5,,
2013/09/21,07,9,,,3,5,,
2013/09/21,08,10,,,3,5,,
2013/09/21,09,30,,,10,18,,
2013/09/21,10,68,,,18,48,,
2013/09/21,11,129,,,29,98,,
2013/09/21,12,132,,,32,98,,
2013/09/21,13,133,,,33,98,,
2013/09/21,14,135,,,35,98,,
2013/09/21,15,136,,,36,98,,
2013/09/21,16,135,,,36,98,,
2013/09/21,17,135,,,35,98,,
2013/09/21,18,136,,,34,100,,
2013/09/21,19,135,,,30,103,,
2013/09/21,20,133,,,28,102,,
2013/09/21,21,129,,,27,100,,
2013/09/21,22,28,,,8,18,,
2013/09/21,23,7,,,1,4,,
2013/09/21,24,8,,,2,4,,
2013/09/22,01,9,,,2,4,,
2013/09/22,02,8,,,2,5,,
2013/09/22,03,9,,,2,4,,
2013/09/22,04,8,,,2,4,,
2013/09/22,05,8,,,2,5,,
2013/09/22,06,9,,,2,4,,
2013/09/22,07,9,,,2,5,,
2013/09/22,08,10,,,4,4,,
2013/09/22,09,20,,,12,6,,
2013/09/22,10,52,,,17,33,,
2013/09/22,11,130,,,30,98,,
2013/09/22,12,133,,,34,98,,
2013/09/22,13,139,,,37,99,,
2013/09/22,14,136,,,36,99,,
2013/09/22,15,136,,,36,98,,
2013/09/22,16,136,,,35,99,,
2013/09/22,17,135,,,35,98,,
2013/09/22,18,136,,,33,101,,
2013/09/22,19,135,,,30,102,,
2013/09/22,20,131,,,28,101,,
2013/09/22,21,131,,,27,102,,
2013/09/22,22,39,,,10,27,,
2013/09/22,23,7,,,1,4,,
2013/09/22,24,8,,,1,5,,
2013/09/23,01,9,,,2,4,,
2013/09/23,02,8,,,2,5,,
2013/09/23,03,9,,,2,4,,
2013/09/23,04,8,,,2,4,,
2013/09/23,05,8,,,2,4,,
2013/09/23,06,9,,,2,5,,
2013/09/23,07,9,,,2,5,,
2013/09/23,08,9,,,2,4,,
2013/09/23,09,9,,,2,6,,
2013/09/23,10,39,,,4,33,,
2013/09/23,11,122,,,22,98,,
2013/09/23,12,123,,,22,99,,
2013/09/23,13,126,,,24,100,,
2013/09/23,14,127,,,24,101,,
2013/09/23,15,131,,,28,102,,
2013/09/23,16,140,,,38,101,,
2013/09/23,17,133,,,32,99,,
2013/09/23,18,121,,,18,101,,
2013/09/23,19,123,,,18,103,,
2013/09/23,20,123,,,18,102,,
2013/09/23,21,120,,,17,101,,
2013/09/23,22,27,,,6,20,,
2013/09/23,23,8,,,1,4,,
2013/09/23,24,8,,,2,4,,
2013/09/24,01,9,,,2,5,,
2013/09/24,02,9,,,2,5,,
2013/09/24,03,8,,,2,4,,
2013/09/24,04,9,,,2,4,,
2013/09/24,05,8,,,2,4,,
2013/09/24,06,9,,,2,5,,
2013/09/24,07,9,,,2,5,,
2013/09/24,08,8,,,2,4,,
2013/09/24,09,10,,,3,5,,
2013/09/24,10,41,,,9,30,,
2013/09/24,11,116,,,17,97,,
2013/09/24,12,117,,,19,96,,
2013/09/24,13,125,,,26,97,,
2013/09/24,14,129,,,30,97,,
2013/09/24,15,131,,,32,97,,
2013/09/24,16,131,,,32,98,,
2013/09/24,17,131,,,32,98,,
2013/09/24,18,132,,,31,99,,
2013/09/24,19,133,,,30,101,,
2013/09/24,20,131,,,29,100,,
2013/09/24,21,113,,,13,98,,
2013/09/24,22,34,,,2,30,,
2013/09/24,23,8,,,2,4,,
2013/09/24,24,9,,,2,4,,
2013/09/25,01,7,,,1,4,,
2013/09/25,02,9,,,2,5,,
2013/09/25,03,9,,,3,4,,
2013/09/25,04,9,,,3,5,,
2013/09/25,05,9,,,1,5,,
2013/09/25,06,8,,,2,5,,
2013/09/25,07,9,,,2,5,,
2013/09/25,08,9,,,3,5,,
2013/09/25,09,15,,,8,5,,
2013/09/25,10,45,,,12,31,,
2013/09/25,11,127,,,26,100,,
2013/09/25,12,130,,,29,99,,
2013/09/25,13,137,,,35,100,,
2013/09/25,14,133,,,32,99,,
2013/09/25,15,138,,,37,99,,
2013/09/25,16,144,,,43,98,,
2013/09/25,17,141,,,42,98,,
2013/09/25,18,138,,,37,99,,
2013/09/25,19,138,,,35,101,,
2013/09/25,20,134,,,33,99,,
2013/09/25,21,112,,,12,99,,
2013/09/25,22,34,,,1,31,,
2013/09/25,23,9,,,2,5,,
2013/09/25,24,8,,,2,5,,
2013/09/26,01,9,,,2,4,,
2013/09/26,02,9,,,2,5,,
2013/09/26,03,9,,,2,5,,
2013/09/26,04,8,,,2,5,,
2013/09/26,05,9,,,2,5,,
2013/09/26,06,9,,,2,5,,
2013/09/26,07,9,,,2,5,,
2013/09/26,08,9,,,2,4,,
2013/09/26,09,9,,,2,5,,
2013/09/26,10,34,,,2,30,,
2013/09/26,11,104,,,4,98,,
2013/09/26,12,136,,,34,100,,
2013/09/26,13,125,,,24,100,,
2013/09/26,14,124,,,22,100,,
2013/09/26,15,124,,,24,99,,
2013/09/26,16,125,,,24,99,,
2013/09/26,17,123,,,24,98,,
2013/09/26,18,124,,,22,100,,
2013/09/26,19,110,,,7,100,,
2013/09/26,20,102,,,1,99,,
2013/09/26,21,103,,,2,99,,
2013/09/26,22,18,,,2,14,,
2013/09/26,23,8,,,2,5,,
2013/09/26,24,9,,,2,5,,
2013/09/27,01,9,,,2,5,,
2013/09/27,02,9,,,2,5,,
2013/09/27,03,8,,,2,4,,
2013/09/27,04,8,,,2,4,,
2013/09/27,05,9,,,2,5,,
2013/09/27,06,8,,,2,5,,
2013/09/27,07,9,,,2,5,,
2013/09/27,08,10,,,3,4,,
2013/09/27,09,11,,,4,6,,
2013/09/27,10,32,,,3,27,,
2013/09/27,11,100,,,2,95,,
2013/09/27,12,99,,,2,96,,
2013/09/27,13,115,,,17,96,,
2013/09/27,14,121,,,22,96,,
2013/09/27,15,124,,,25,98,,
2013/09/27,16,127,,,26,98,,
2013/09/27,17,122,,,24,97,,
2013/09/27,18,125,,,24,99,,
2013/09/27,19,126,,,21,102,,
2013/09/27,20,124,,,22,101,,
2013/09/27,21,124,,,21,101,,
2013/09/27,22,42,,,9,31,,
2013/09/27,23,8,,,1,5,,
