計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/07/01,01,63,,,41,21,,
2013/07/01,02,57,,,37,21,,
2013/07/01,03,55,,,36,20,,
2013/07/01,04,46,,,31,17,,
2013/07/01,05,36,,,22,14,,
2013/07/01,06,20,,,10,11,,
2013/07/01,07,13,,,5,9,,
2013/07/01,08,16,,,6,11,,
2013/07/01,09,18,,,7,11,,
2013/07/01,10,15,,,5,10,,
2013/07/01,11,12,,,3,10,,
2013/07/01,12,11,,,2,10,,
2013/07/01,13,10,,,2,9,,
2013/07/01,14,16,,,6,11,,
2013/07/01,15,26,,,14,12,,
2013/07/01,16,42,,,29,14,,
2013/07/01,17,55,,,36,19,,
2013/07/01,18,61,,,40,23,,
2013/07/01,19,64,,,41,23,,
2013/07/01,20,62,,,39,23,,
2013/07/01,21,63,,,39,24,,
2013/07/01,22,63,,,39,24,,
2013/07/01,23,59,,,35,23,,
2013/07/01,24,64,,,41,23,,
2013/07/02,01,61,,,40,21,,
2013/07/02,02,62,,,39,21,,
2013/07/02,03,56,,,36,20,,
2013/07/02,04,26,,,12,14,,
2013/07/02,05,18,,,7,11,,
2013/07/02,06,18,,,8,10,,
2013/07/02,07,17,,,8,10,,
2013/07/02,08,17,,,7,9,,
2013/07/02,09,10,,,2,10,,
2013/07/02,10,15,,,5,10,,
2013/07/02,11,19,,,7,13,,
2013/07/02,12,19,,,8,12,,
2013/07/02,13,15,,,5,10,,
2013/07/02,14,12,,,3,9,,
2013/07/02,15,21,,,10,11,,
2013/07/02,16,37,,,22,15,,
2013/07/02,17,60,,,41,19,,
2013/07/02,18,68,,,45,23,,
2013/07/02,19,64,,,41,23,,
2013/07/02,20,65,,,41,25,,
2013/07/02,21,70,,,45,25,,
2013/07/02,22,69,,,45,23,,
2013/07/02,23,65,,,42,23,,
2013/07/02,24,65,,,42,23,,
2013/07/03,01,61,,,39,23,,
2013/07/03,02,57,,,36,21,,
2013/07/03,03,54,,,34,20,,
2013/07/03,04,25,,,11,14,,
2013/07/03,05,13,,,2,10,,
2013/07/03,06,11,,,2,9,,
2013/07/03,07,10,,,2,8,,
2013/07/03,08,10,,,2,8,,
2013/07/03,09,10,,,2,9,,
2013/07/03,10,12,,,2,10,,
2013/07/03,11,13,,,2,12,,
2013/07/03,12,13,,,2,11,,
2013/07/03,13,12,,,2,10,,
2013/07/03,14,12,,,3,9,,
2013/07/03,15,23,,,11,12,,
2013/07/03,16,40,,,26,15,,
2013/07/03,17,59,,,40,19,,
2013/07/03,18,67,,,44,22,,
2013/07/03,19,69,,,46,24,,
2013/07/03,20,69,,,45,24,,
2013/07/03,21,70,,,46,24,,
2013/07/03,22,69,,,45,23,,
2013/07/03,23,69,,,46,23,,
2013/07/03,24,68,,,45,23,,
2013/07/04,01,66,,,43,22,,
2013/07/04,02,65,,,43,22,,
2013/07/04,03,63,,,42,21,,
2013/07/04,04,25,,,11,13,,
2013/07/04,05,15,,,4,12,,
2013/07/04,06,14,,,3,11,,
2013/07/04,07,14,,,3,10,,
2013/07/04,08,12,,,3,10,,
2013/07/04,09,14,,,3,11,,
2013/07/04,10,13,,,2,11,,
2013/07/04,11,15,,,3,11,,
2013/07/04,12,19,,,7,12,,
2013/07/04,13,20,,,7,13,,
2013/07/04,14,17,,,7,10,,
2013/07/04,15,25,,,13,12,,
2013/07/04,16,52,,,35,16,,
2013/07/04,17,65,,,46,19,,
2013/07/04,18,66,,,43,23,,
2013/07/04,19,66,,,42,24,,
2013/07/04,20,67,,,44,23,,
2013/07/04,21,68,,,43,24,,
2013/07/04,22,67,,,44,23,,
2013/07/04,23,66,,,44,23,,
2013/07/04,24,65,,,43,22,,
2013/07/05,01,65,,,43,21,,
2013/07/05,02,64,,,43,21,,
2013/07/05,03,44,,,26,18,,
2013/07/05,04,29,,,15,14,,
2013/07/05,05,20,,,8,13,,
2013/07/05,06,17,,,7,11,,
2013/07/05,07,14,,,6,8,,
2013/07/05,08,15,,,6,9,,
2013/07/05,09,15,,,6,10,,
2013/07/05,10,17,,,7,10,,
2013/07/05,11,23,,,11,12,,
2013/07/05,12,22,,,11,11,,
2013/07/05,13,21,,,11,10,,
2013/07/05,14,20,,,10,10,,
2013/07/05,15,25,,,13,13,,
2013/07/05,16,42,,,26,16,,
2013/07/05,17,62,,,40,22,,
2013/07/05,18,70,,,46,23,,
2013/07/05,19,73,,,48,25,,
2013/07/05,20,78,,,52,26,,
2013/07/05,21,81,,,54,27,,
2013/07/05,22,78,,,52,26,,
2013/07/05,23,77,,,52,25,,
2013/07/05,24,73,,,49,25,,
2013/07/06,01,70,,,47,24,,
2013/07/06,02,69,,,46,23,,
2013/07/06,03,68,,,47,21,,
2013/07/06,04,55,,,38,19,,
2013/07/06,05,50,,,34,17,,
2013/07/06,06,40,,,27,13,,
2013/07/06,07,20,,,12,9,,
2013/07/06,08,17,,,9,9,,
2013/07/06,09,18,,,9,10,,
2013/07/06,10,20,,,9,10,,
2013/07/06,11,21,,,8,12,,
2013/07/06,12,21,,,9,13,,
2013/07/06,13,19,,,9,10,,
2013/07/06,14,31,,,20,12,,
2013/07/06,15,44,,,31,13,,
2013/07/06,16,53,,,37,16,,
2013/07/06,17,67,,,47,20,,
2013/07/06,18,76,,,51,25,,
2013/07/06,19,76,,,51,25,,
2013/07/06,20,75,,,49,26,,
2013/07/06,21,78,,,52,26,,
2013/07/06,22,77,,,52,25,,
2013/07/06,23,77,,,54,25,,
2013/07/06,24,73,,,50,24,,
2013/07/07,01,71,,,46,23,,
2013/07/07,02,68,,,45,23,,
2013/07/07,03,68,,,46,23,,
2013/07/07,04,51,,,33,18,,
2013/07/07,05,43,,,27,16,,
2013/07/07,06,34,,,21,14,,
2013/07/07,07,19,,,9,11,,
2013/07/07,08,14,,,5,10,,
2013/07/07,09,14,,,5,9,,
2013/07/07,10,16,,,5,11,,
2013/07/07,11,20,,,8,12,,
2013/07/07,12,22,,,10,12,,
2013/07/07,13,19,,,8,11,,
2013/07/07,14,25,,,11,14,,
2013/07/07,15,33,,,19,14,,
2013/07/07,16,48,,,34,14,,
2013/07/07,17,76,,,55,21,,
2013/07/07,18,73,,,49,24,,
