計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2012/09/01,01,127,,,44,83,,
2012/09/01,02,90,,,35,55,,
2012/09/01,03,27,,,9,18,,
2012/09/01,04,26,,,12,14,,
2012/09/01,05,22,,,9,13,,
2012/09/01,06,19,,,7,12,,
2012/09/01,07,20,,,8,12,,
2012/09/01,08,23,,,11,12,,
2012/09/01,09,18,,,5,13,,
2012/09/01,10,99,,,46,53,,
2012/09/01,11,128,,,56,72,,
2012/09/01,12,133,,,61,72,,
2012/09/01,13,135,,,62,73,,
2012/09/01,14,135,,,63,72,,
2012/09/01,15,135,,,63,72,,
2012/09/01,16,125,,,53,72,,
2012/09/01,17,125,,,53,72,,
2012/09/01,18,126,,,53,73,,
2012/09/01,19,122,,,35,87,,
2012/09/01,20,116,,,29,87,,
2012/09/01,21,114,,,27,87,,
2012/09/01,22,105,,,19,86,,
2012/09/01,23,101,,,17,84,,
2012/09/01,24,101,,,16,85,,
2012/09/02,01,95,,,15,80,,
2012/09/02,02,39,,,12,27,,
2012/09/02,03,33,,,9,24,,
2012/09/02,04,29,,,6,23,,
2012/09/02,05,25,,,6,19,,
2012/09/02,06,16,,,2,14,,
2012/09/02,07,11,,,0,11,,
2012/09/02,08,16,,,0,16,,
2012/09/02,09,14,,,0,14,,
2012/09/02,10,62,,,19,43,,
2012/09/02,11,132,,,59,73,,
2012/09/02,12,139,,,63,76,,
2012/09/02,13,140,,,65,75,,
2012/09/02,14,133,,,61,72,,
2012/09/02,15,131,,,59,72,,
2012/09/02,16,129,,,56,73,,
2012/09/02,17,116,,,43,73,,
2012/09/02,18,113,,,40,73,,
2012/09/02,19,118,,,32,86,,
2012/09/02,20,121,,,32,89,,
2012/09/02,21,118,,,29,89,,
2012/09/02,22,116,,,28,88,,
2012/09/02,23,115,,,29,86,,
2012/09/02,24,111,,,26,85,,
2012/09/03,01,110,,,24,86,,
2012/09/03,02,40,,,8,32,,
2012/09/03,03,22,,,7,15,,
2012/09/03,04,22,,,7,15,,
