計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2014/01/01,01,15,3,8,,1,,
2014/01/01,02,16,3,9,,1,,
2014/01/01,03,14,1,7,,5,,
2014/01/01,04,15,1,9,,2,,
2014/01/01,05,15,1,7,,2,,
2014/01/01,06,15,1,9,,5,,
2014/01/01,07,15,2,7,,3,,
2014/01/01,08,17,4,11,,2,,
2014/01/01,09,15,2,6,,3,,
2014/01/01,10,19,1,12,,3,,
2014/01/01,11,16,1,9,,4,,
2014/01/01,12,16,3,9,,3,,
2014/01/01,13,16,1,8,,2,,
2014/01/01,14,15,1,8,,5,,
2014/01/01,15,17,4,10,,3,,
2014/01/01,16,16,2,10,,3,,
2014/01/01,17,16,1,9,,2,,
2014/01/01,18,15,2,8,,4,,
2014/01/01,19,17,1,9,,3,,
2014/01/01,20,17,5,8,,4,,
2014/01/01,21,15,0,11,,2,,
2014/01/01,22,16,3,6,,4,,
2014/01/01,23,15,1,10,,4,,
2014/01/01,24,15,1,7,,1,,
2014/01/02,01,16,2,8,,3,,
2014/01/02,02,15,3,8,,4,,
2014/01/02,03,15,0,7,,4,,
2014/01/02,04,15,1,9,,2,,
2014/01/02,05,17,5,8,,4,,
2014/01/02,06,15,2,9,,2,,
2014/01/02,07,16,0,8,,4,,
2014/01/02,08,15,2,8,,3,,
2014/01/02,09,15,3,7,,2,,
2014/01/02,10,19,1,12,,2,,
2014/01/02,11,17,2,10,,5,,
2014/01/02,12,16,3,9,,2,,
2014/01/02,13,16,1,8,,5,,
2014/01/02,14,16,2,9,,3,,
2014/01/02,15,16,3,8,,2,,
2014/01/02,16,16,0,11,,3,,
2014/01/02,17,16,3,8,,3,,
2014/01/02,18,16,1,7,,4,,
2014/01/02,19,16,3,9,,1,,
2014/01/02,20,16,0,10,,6,,
2014/01/02,21,15,4,8,,3,,
2014/01/02,22,15,1,8,,1,,
2014/01/02,23,16,2,7,,5,,
2014/01/02,24,15,0,9,,3,,
2014/01/03,01,16,1,10,,2,,
2014/01/03,02,15,3,7,,3,,
2014/01/03,03,16,6,8,,2,,
2014/01/03,04,15,1,8,,6,,
2014/01/03,05,15,1,8,,4,,
2014/01/03,06,15,1,9,,1,,
2014/01/03,07,15,0,9,,2,,
2014/01/03,08,16,2,7,,4,,
2014/01/03,09,15,4,8,,3,,
2014/01/03,10,19,3,13,,3,,
2014/01/03,11,20,3,8,,3,,
2014/01/03,12,24,8,10,,6,,
2014/01/03,13,22,5,9,,5,,
2014/01/03,14,30,13,10,,4,,
2014/01/03,15,40,16,13,,5,,
2014/01/03,16,41,17,11,,6,,
2014/01/03,17,35,11,12,,6,,
2014/01/03,18,27,8,11,,4,,
2014/01/03,19,32,11,14,,7,,
2014/01/03,20,41,19,11,,10,,
2014/01/03,21,27,8,13,,6,,
2014/01/03,22,27,8,12,,7,,
2014/01/03,23,26,9,10,,6,,
2014/01/03,24,26,7,12,,7,,
2014/01/04,01,28,8,13,,6,,
2014/01/04,02,18,2,11,,5,,
2014/01/04,03,18,3,8,,5,,
2014/01/04,04,19,1,11,,7,,
2014/01/04,05,17,2,9,,4,,
2014/01/04,06,18,2,11,,5,,
2014/01/04,07,19,3,10,,6,,
2014/01/04,08,17,0,11,,3,,
2014/01/04,09,17,2,7,,5,,
2014/01/04,10,21,0,16,,4,,
2014/01/04,11,20,4,10,,6,,
2014/01/04,12,30,11,12,,7,,
2014/01/04,13,29,9,10,,6,,
2014/01/04,14,31,10,14,,7,,
2014/01/04,15,31,12,10,,5,,
2014/01/04,16,31,11,15,,5,,
2014/01/04,17,30,10,11,,9,,
2014/01/04,18,35,14,12,,7,,
2014/01/04,19,41,21,14,,5,,
2014/01/04,20,41,22,10,,9,,
2014/01/04,21,40,20,13,,6,,
2014/01/04,22,34,15,12,,6,,
2014/01/04,23,28,10,9,,7,,
2014/01/04,24,23,7,11,,3,,
2014/01/05,01,25,7,10,,6,,
2014/01/05,02,17,5,7,,2,,
2014/01/05,03,14,1,8,,3,,
2014/01/05,04,15,2,7,,5,,
2014/01/05,05,16,4,9,,3,,
2014/01/05,06,15,0,6,,2,,
2014/01/05,07,15,0,9,,3,,
2014/01/05,08,15,2,9,,4,,
2014/01/05,09,15,5,7,,2,,
2014/01/05,10,15,1,10,,3,,
2014/01/05,11,17,2,7,,4,,
2014/01/05,12,28,11,10,,6,,
2014/01/05,13,33,10,9,,3,,
2014/01/05,14,37,10,12,,6,,
2014/01/05,15,39,9,11,,7,,
2014/01/05,16,52,23,15,,8,,
2014/01/05,17,52,20,15,,10,,
2014/01/05,18,53,19,16,,11,,
2014/01/05,19,46,21,14,,8,,
2014/01/05,20,37,16,13,,8,,
2014/01/05,21,38,17,13,,8,,
2014/01/05,22,39,17,14,,8,,
2014/01/05,23,40,19,12,,9,,
2014/01/05,24,18,2,9,,2,,
2014/01/06,01,16,4,9,,3,,
2014/01/06,02,15,0,7,,4,,
2014/01/06,03,14,1,9,,2,,
2014/01/06,04,16,3,5,,5,,
2014/01/06,05,15,0,9,,4,,
2014/01/06,06,15,4,8,,2,,
2014/01/06,07,16,1,9,,2,,
2014/01/06,08,32,12,14,,6,,
2014/01/06,09,60,29,18,,13,,
2014/01/06,10,133,71,36,,26,,
2014/01/06,11,148,80,39,,29,,
2014/01/06,12,139,63,41,,35,,
2014/01/06,13,134,60,41,,33,,
2014/01/06,14,119,54,37,,28,,
2014/01/06,15,122,49,41,,32,,
2014/01/06,16,126,53,41,,32,,
2014/01/06,17,122,45,43,,34,,
2014/01/06,18,124,49,42,,33,,
2014/01/06,19,119,49,39,,31,,
2014/01/06,20,107,45,36,,26,,
2014/01/06,21,106,46,35,,25,,
2014/01/06,22,96,41,31,,24,,
2014/01/06,23,71,30,23,,18,,
2014/01/06,24,61,25,20,,16,,
2014/01/07,01,52,23,17,,12,,
2014/01/07,02,34,14,13,,7,,
2014/01/07,03,27,11,10,,5,,
2014/01/07,04,31,15,11,,5,,
2014/01/07,05,29,14,9,,6,,
2014/01/07,06,29,13,10,,5,,
2014/01/07,07,35,18,12,,5,,
2014/01/07,08,42,19,14,,8,,
2014/01/07,09,52,22,18,,12,,
2014/01/07,10,73,31,26,,16,,
2014/01/07,11,114,55,34,,25,,
2014/01/07,12,121,55,38,,28,,
2014/01/07,13,120,50,38,,32,,
2014/01/07,14,114,50,37,,27,,
2014/01/07,15,116,48,39,,29,,
2014/01/07,16,113,45,37,,31,,
2014/01/07,17,111,39,41,,31,,
2014/01/07,18,107,37,39,,31,,
2014/01/07,19,91,26,37,,28,,
2014/01/07,20,82,23,34,,25,,
2014/01/07,21,89,32,31,,26,,
2014/01/07,22,91,37,31,,23,,
2014/01/07,23,60,24,21,,15,,
2014/01/07,24,52,16,21,,15,,
2014/01/08,01,44,14,17,,13,,
2014/01/08,02,25,10,9,,6,,
2014/01/08,03,23,6,11,,6,,
2014/01/08,04,22,6,8,,3,,
2014/01/08,05,25,7,11,,7,,
2014/01/08,06,22,9,10,,2,,
2014/01/08,07,24,5,8,,7,,
2014/01/08,08,42,16,18,,8,,
2014/01/08,09,56,25,17,,14,,
2014/01/08,10,83,36,31,,16,,
2014/01/08,11,104,44,33,,27,,
2014/01/08,12,104,36,37,,31,,
2014/01/08,13,96,28,40,,28,,
2014/01/08,14,92,32,33,,27,,
2014/01/08,15,94,27,39,,28,,
2014/01/08,16,108,32,41,,35,,
2014/01/08,17,106,32,42,,32,,
2014/01/08,18,113,32,44,,37,,
2014/01/08,19,98,24,42,,32,,
2014/01/08,20,82,19,37,,26,,
2014/01/08,21,74,19,31,,24,,
2014/01/08,22,59,15,25,,19,,
2014/01/08,23,52,17,21,,14,,
2014/01/08,24,55,19,21,,15,,
2014/01/09,01,61,26,19,,16,,
2014/01/09,02,41,15,17,,9,,
2014/01/09,03,30,8,12,,10,,
2014/01/09,04,32,11,14,,7,,
2014/01/09,05,32,14,10,,5,,
2014/01/09,06,34,15,11,,8,,
2014/01/09,07,37,17,14,,6,,
2014/01/09,08,43,15,16,,12,,
2014/01/09,09,56,22,21,,13,,
2014/01/09,10,64,22,27,,15,,
2014/01/09,11,91,39,30,,22,,
2014/01/09,12,115,44,39,,32,,
2014/01/09,13,111,40,40,,31,,
2014/01/09,14,99,38,34,,27,,
2014/01/09,15,101,36,37,,28,,
2014/01/09,16,105,38,38,,29,,
2014/01/09,17,108,40,37,,31,,
2014/01/09,18,104,36,38,,30,,
2014/01/09,19,96,29,39,,28,,
2014/01/09,20,82,25,33,,24,,
2014/01/09,21,73,18,33,,22,,
2014/01/09,22,72,24,26,,22,,
2014/01/09,23,66,18,26,,22,,
2014/01/09,24,55,18,22,,15,,
2014/01/10,01,48,16,19,,11,,
2014/01/10,02,40,14,15,,11,,
2014/01/10,03,35,14,13,,8,,
2014/01/10,04,38,14,14,,10,,
2014/01/10,05,37,13,15,,9,,
2014/01/10,06,37,13,14,,10,,
2014/01/10,07,39,13,16,,10,,
2014/01/10,08,44,18,16,,10,,
2014/01/10,09,59,21,22,,16,,
2014/01/10,10,72,31,26,,15,,
2014/01/10,11,101,44,32,,25,,
2014/01/10,12,125,51,43,,31,,
2014/01/10,13,116,44,39,,33,,
2014/01/10,14,107,42,38,,27,,
2014/01/10,15,107,38,37,,32,,
2014/01/10,16,115,38,44,,33,,
2014/01/10,17,117,43,40,,34,,
2014/01/10,18,109,38,41,,30,,
2014/01/10,19,112,37,41,,34,,
2014/01/10,20,93,31,37,,25,,
2014/01/10,21,88,27,34,,27,,
2014/01/10,22,75,26,28,,21,,
2014/01/10,23,62,23,22,,17,,
2014/01/10,24,63,25,21,,17,,
2014/01/11,01,54,23,19,,11,,
2014/01/11,02,43,23,12,,8,,
