計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/12/01,01,4,,2,,,,
2013/12/01,02,4,,2,,,,
2013/12/01,03,5,,2,,,,
2013/12/01,04,5,,2,,,,
2013/12/01,05,5,,2,,,,
2013/12/01,06,4,,2,,,,
2013/12/01,07,4,,2,,,,
2013/12/01,08,4,,2,,,,
2013/12/01,09,4,,2,,,,
2013/12/01,10,4,,2,,,,
2013/12/01,11,4,,2,,,,
2013/12/01,12,4,,2,,,,
2013/12/01,13,4,,2,,,,
2013/12/01,14,4,,2,,,,
2013/12/01,15,4,,2,,,,
2013/12/01,16,3,,2,,,,
2013/12/01,17,4,,1,,,,
2013/12/01,18,4,,2,,,,
2013/12/01,19,4,,2,,,,
2013/12/01,20,3,,2,,,,
2013/12/01,21,4,,2,,,,
2013/12/01,22,4,,2,,,,
2013/12/01,23,5,,2,,,,
2013/12/01,24,5,,2,,,,
2013/12/02,01,5,,2,,,,
2013/12/02,02,5,,2,,,,
2013/12/02,03,5,,2,,,,
2013/12/02,04,5,,2,,,,
2013/12/02,05,5,,2,,,,
2013/12/02,06,4,,2,,,,
2013/12/02,07,4,,2,,,,
2013/12/02,08,4,,2,,,,
2013/12/02,09,52,,2,,,,
2013/12/02,10,61,,5,,,,
2013/12/02,11,60,,6,,,,
2013/12/02,12,61,,5,,,,
2013/12/02,13,57,,6,,,,
2013/12/02,14,59,,4,,,,
2013/12/02,15,59,,5,,,,
2013/12/02,16,59,,5,,,,
2013/12/02,17,65,,5,,,,
2013/12/02,18,65,,6,,,,
2013/12/02,19,60,,6,,,,
2013/12/02,20,62,,4,,,,
2013/12/02,21,58,,4,,,,
2013/12/02,22,60,,4,,,,
2013/12/02,23,64,,3,,,,
2013/12/02,24,65,,2,,,,
2013/12/03,01,55,,2,,,,
2013/12/03,02,54,,2,,,,
2013/12/03,03,53,,2,,,,
2013/12/03,04,54,,2,,,,
2013/12/03,05,54,,2,,,,
2013/12/03,06,53,,2,,,,
2013/12/03,07,55,,2,,,,
2013/12/03,08,59,,4,,,,
2013/12/03,09,61,,4,,,,
2013/12/03,10,63,,6,,,,
2013/12/03,11,64,,5,,,,
2013/12/03,12,64,,5,,,,
2013/12/03,13,63,,5,,,,
2013/12/03,14,63,,4,,,,
2013/12/03,15,62,,4,,,,
2013/12/03,16,62,,5,,,,
2013/12/03,17,65,,5,,,,
2013/12/03,18,65,,6,,,,
2013/12/03,19,65,,6,,,,
2013/12/03,20,66,,6,,,,
2013/12/03,21,61,,5,,,,
2013/12/03,22,60,,4,,,,
2013/12/03,23,59,,4,,,,
2013/12/03,24,58,,3,,,,
2013/12/04,01,59,,2,,,,
2013/12/04,02,59,,3,,,,
2013/12/04,03,59,,3,,,,
2013/12/04,04,59,,3,,,,
2013/12/04,05,60,,3,,,,
2013/12/04,06,58,,2,,,,
2013/12/04,07,60,,2,,,,
2013/12/04,08,57,,2,,,,
2013/12/04,09,63,,3,,,,
2013/12/04,10,63,,6,,,,
2013/12/04,11,62,,5,,,,
2013/12/04,12,66,,5,,,,
2013/12/04,13,62,,6,,,,
2013/12/04,14,67,,4,,,,
2013/12/04,15,66,,5,,,,
2013/12/04,16,65,,5,,,,
2013/12/04,17,64,,5,,,,
2013/12/04,18,68,,6,,,,
2013/12/04,19,68,,7,,,,
2013/12/04,20,70,,6,,,,
2013/12/04,21,67,,6,,,,
2013/12/04,22,61,,5,,,,
2013/12/04,23,58,,5,,,,
2013/12/04,24,62,,3,,,,
2013/12/05,01,60,,3,,,,
2013/12/05,02,61,,3,,,,
2013/12/05,03,61,,2,,,,
2013/12/05,04,24,,2,,,,
2013/12/05,05,4,,2,,,,
2013/12/05,06,4,,2,,,,
2013/12/05,07,4,,2,,,,
2013/12/05,08,6,,2,,,,
2013/12/05,09,56,,3,,,,
2013/12/05,10,65,,7,,,,
2013/12/05,11,65,,6,,,,
2013/12/05,12,66,,5,,,,
2013/12/05,13,61,,6,,,,
2013/12/05,14,73,,4,,,,
2013/12/05,15,62,,5,,,,
2013/12/05,16,62,,5,,,,
2013/12/05,17,71,,5,,,,
2013/12/05,18,72,,5,,,,
2013/12/05,19,70,,6,,,,
2013/12/05,20,79,,6,,,,
2013/12/05,21,73,,6,,,,
2013/12/05,22,67,,6,,,,
2013/12/05,23,63,,6,,,,
2013/12/05,24,65,,5,,,,
2013/12/06,01,63,,3,,,,
2013/12/06,02,60,,2,,,,
2013/12/06,03,63,,3,,,,
2013/12/06,04,60,,3,,,,
2013/12/06,05,60,,2,,,,
2013/12/06,06,59,,2,,,,
2013/12/06,07,61,,2,,,,
2013/12/06,08,62,,2,,,,
2013/12/06,09,67,,3,,,,
2013/12/06,10,69,,5,,,,
2013/12/06,11,67,,5,,,,
2013/12/06,12,69,,4,,,,
2013/12/06,13,67,,5,,,,
2013/12/06,14,68,,4,,,,
2013/12/06,15,68,,4,,,,
2013/12/06,16,68,,4,,,,
2013/12/06,17,71,,4,,,,
2013/12/06,18,72,,6,,,,
2013/12/06,19,71,,6,,,,
2013/12/06,20,67,,5,,,,
2013/12/06,21,66,,5,,,,
2013/12/06,22,64,,5,,,,
2013/12/06,23,70,,5,,,,
2013/12/06,24,67,,4,,,,
2013/12/07,01,59,,3,,,,
2013/12/07,02,39,,2,,,,
2013/12/07,03,4,,2,,,,
2013/12/07,04,4,,2,,,,
2013/12/07,05,4,,2,,,,
2013/12/07,06,4,,2,,,,
2013/12/07,07,4,,2,,,,
2013/12/07,08,4,,2,,,,
2013/12/07,09,50,,2,,,,
2013/12/07,10,60,,4,,,,
2013/12/07,11,61,,4,,,,
2013/12/07,12,61,,4,,,,
2013/12/07,13,57,,3,,,,
2013/12/07,14,57,,2,,,,
2013/12/07,15,61,,2,,,,
2013/12/07,16,61,,3,,,,
2013/12/07,17,23,,3,,,,
2013/12/07,18,4,,3,,,,
2013/12/07,19,38,,3,,,,
2013/12/07,20,61,,3,,,,
2013/12/07,21,38,,2,,,,
2013/12/07,22,7,,2,,,,
2013/12/07,23,4,,2,,,,
2013/12/07,24,4,,2,,,,
2013/12/08,01,4,,2,,,,
2013/12/08,02,4,,2,,,,
2013/12/08,03,4,,2,,,,
2013/12/08,04,4,,2,,,,
2013/12/08,05,5,,2,,,,
2013/12/08,06,4,,2,,,,
2013/12/08,07,4,,2,,,,
2013/12/08,08,4,,2,,,,
2013/12/08,09,4,,2,,,,
2013/12/08,10,4,,2,,,,
2013/12/08,11,4,,2,,,,
2013/12/08,12,4,,2,,,,
2013/12/08,13,4,,2,,,,
2013/12/08,14,4,,2,,,,
2013/12/08,15,4,,2,,,,
2013/12/08,16,4,,2,,,,
2013/12/08,17,4,,2,,,,
2013/12/08,18,4,,2,,,,
2013/12/08,19,4,,2,,,,
2013/12/08,20,4,,2,,,,
2013/12/08,21,4,,2,,,,
2013/12/08,22,4,,2,,,,
2013/12/08,23,5,,2,,,,
2013/12/08,24,5,,2,,,,
2013/12/09,01,5,,2,,,,
2013/12/09,02,5,,2,,,,
2013/12/09,03,5,,2,,,,
2013/12/09,04,5,,2,,,,
2013/12/09,05,5,,2,,,,
2013/12/09,06,5,,2,,,,
2013/12/09,07,4,,2,,,,
2013/12/09,08,4,,2,,,,
2013/12/09,09,49,,3,,,,
2013/12/09,10,67,,7,,,,
2013/12/09,11,63,,6,,,,
2013/12/09,12,65,,6,,,,
2013/12/09,13,59,,7,,,,
2013/12/09,14,60,,5,,,,
2013/12/09,15,62,,5,,,,
2013/12/09,16,66,,5,,,,
2013/12/09,17,66,,6,,,,
2013/12/09,18,65,,6,,,,
2013/12/09,19,68,,7,,,,
2013/12/09,20,70,,7,,,,
2013/12/09,21,70,,6,,,,
2013/12/09,22,64,,6,,,,
2013/12/09,23,66,,6,,,,
2013/12/09,24,60,,6,,,,
2013/12/10,01,38,,4,,,,
2013/12/10,02,4,,3,,,,
2013/12/10,03,4,,2,,,,
2013/12/10,04,4,,2,,,,
2013/12/10,05,4,,2,,,,
2013/12/10,06,4,,2,,,,
2013/12/10,07,4,,2,,,,
2013/12/10,08,5,,2,,,,
2013/12/10,09,58,,3,,,,
2013/12/10,10,65,,7,,,,
2013/12/10,11,63,,6,,,,
2013/12/10,12,63,,6,,,,
2013/12/10,13,61,,7,,,,
2013/12/10,14,61,,4,,,,
2013/12/10,15,60,,5,,,,
2013/12/10,16,60,,5,,,,
2013/12/10,17,63,,5,,,,
2013/12/10,18,64,,5,,,,
2013/12/10,19,65,,6,,,,
2013/12/10,20,63,,6,,,,
2013/12/10,21,65,,7,,,,
2013/12/10,22,66,,6,,,,
2013/12/10,23,66,,6,,,,
2013/12/10,24,67,,6,,,,
2013/12/11,01,24,,4,,,,
2013/12/11,02,9,,2,,,,
2013/12/11,03,7,,2,,,,
2013/12/11,04,6,,2,,,,
2013/12/11,05,6,,2,,,,
2013/12/11,06,6,,2,,,,
2013/12/11,07,4,,2,,,,
2013/12/11,08,24,,2,,,,
2013/12/11,09,58,,4,,,,
2013/12/11,10,59,,6,,,,
2013/12/11,11,59,,6,,,,
2013/12/11,12,69,,5,,,,
2013/12/11,13,59,,6,,,,
2013/12/11,14,59,,4,,,,
2013/12/11,15,67,,5,,,,
2013/12/11,16,69,,5,,,,
2013/12/11,17,72,,5,,,,
2013/12/11,18,76,,7,,,,
2013/12/11,19,64,,7,,,,
2013/12/11,20,68,,8,,,,
2013/12/11,21,73,,9,,,,
2013/12/11,22,78,,7,,,,
2013/12/11,23,77,,6,,,,
2013/12/11,24,65,,5,,,,
2013/12/12,01,59,,4,,,,
2013/12/12,02,12,,4,,,,
2013/12/12,03,4,,3,,,,
2013/12/12,04,4,,2,,,,
2013/12/12,05,4,,2,,,,
2013/12/12,06,4,,2,,,,
2013/12/12,07,4,,2,,,,
2013/12/12,08,17,,2,,,,
2013/12/12,09,61,,4,,,,
2013/12/12,10,61,,6,,,,
2013/12/12,11,61,,6,,,,
2013/12/12,12,62,,5,,,,
2013/12/12,13,57,,6,,,,
2013/12/12,14,60,,4,,,,
2013/12/12,15,59,,5,,,,
2013/12/12,16,60,,5,,,,
2013/12/12,17,62,,5,,,,
2013/12/12,18,66,,6,,,,
2013/12/12,19,63,,7,,,,
2013/12/12,20,63,,6,,,,
2013/12/12,21,68,,6,,,,
2013/12/12,22,61,,6,,,,
2013/12/12,23,58,,6,,,,
2013/12/12,24,56,,4,,,,
2013/12/13,01,41,,4,,,,
2013/12/13,02,4,,2,,,,
2013/12/13,03,4,,2,,,,
2013/12/13,04,4,,2,,,,
2013/12/13,05,5,,2,,,,
2013/12/13,06,4,,2,,,,
2013/12/13,07,5,,2,,,,
2013/12/13,08,6,,2,,,,
2013/12/13,09,56,,3,,,,
2013/12/13,10,67,,8,,,,
2013/12/13,11,65,,6,,,,
2013/12/13,12,62,,5,,,,
2013/12/13,13,60,,7,,,,
2013/12/13,14,59,,4,,,,
2013/12/13,15,64,,4,,,,
2013/12/13,16,64,,5,,,,
2013/12/13,17,65,,5,,,,
2013/12/13,18,65,,6,,,,
2013/12/13,19,65,,7,,,,
2013/12/13,20,70,,7,,,,
2013/12/13,21,65,,7,,,,
2013/12/13,22,64,,7,,,,
2013/12/13,23,20,,4,,,,
2013/12/13,24,7,,2,,,,
2013/12/14,01,7,,2,,,,
2013/12/14,02,4,,2,,,,
2013/12/14,03,4,,2,,,,
2013/12/14,04,5,,2,,,,
2013/12/14,05,5,,2,,,,
2013/12/14,06,5,,2,,,,
2013/12/14,07,4,,2,,,,
2013/12/14,08,9,,2,,,,
2013/12/14,09,57,,3,,,,
2013/12/14,10,62,,7,,,,
2013/12/14,11,62,,6,,,,
2013/12/14,12,63,,5,,,,
2013/12/14,13,58,,6,,,,
2013/12/14,14,59,,4,,,,
2013/12/14,15,62,,4,,,,
2013/12/14,16,62,,4,,,,
2013/12/14,17,65,,5,,,,
2013/12/14,18,68,,6,,,,
2013/12/14,19,68,,7,,,,
2013/12/14,20,67,,6,,,,
2013/12/14,21,70,,6,,,,
2013/12/14,22,68,,6,,,,
2013/12/14,23,64,,5,,,,
2013/12/14,24,59,,5,,,,
2013/12/15,01,58,,4,,,,
2013/12/15,02,56,,2,,,,
2013/12/15,03,55,,2,,,,
2013/12/15,04,55,,2,,,,
2013/12/15,05,55,,2,,,,
2013/12/15,06,54,,2,,,,
2013/12/15,07,54,,2,,,,
2013/12/15,08,54,,2,,,,
2013/12/15,09,55,,2,,,,
2013/12/15,10,54,,2,,,,
2013/12/15,11,54,,2,,,,
2013/12/15,12,55,,2,,,,
2013/12/15,13,55,,2,,,,
2013/12/15,14,55,,2,,,,
2013/12/15,15,55,,2,,,,
2013/12/15,16,55,,2,,,,
2013/12/15,17,55,,2,,,,
2013/12/15,18,55,,2,,,,
2013/12/15,19,55,,2,,,,
2013/12/15,20,55,,2,,,,
2013/12/15,21,57,,3,,,,
2013/12/15,22,55,,3,,,,
2013/12/15,23,55,,2,,,,
2013/12/15,24,55,,2,,,,
2013/12/16,01,55,,2,,,,
2013/12/16,02,55,,2,,,,
2013/12/16,03,54,,2,,,,
2013/12/16,04,54,,2,,,,
2013/12/16,05,53,,2,,,,
2013/12/16,06,53,,2,,,,
2013/12/16,07,53,,2,,,,
2013/12/16,08,53,,2,,,,
2013/12/16,09,58,,3,,,,
2013/12/16,10,66,,7,,,,
2013/12/16,11,68,,6,,,,
2013/12/16,12,66,,6,,,,
2013/12/16,13,58,,6,,,,
2013/12/16,14,62,,4,,,,
