計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2014/01/01,01,10,5,1,,,3,
2014/01/01,02,13,8,1,,,4,
2014/01/01,03,10,5,1,,,3,
2014/01/01,04,12,7,1,,,3,
2014/01/01,05,10,6,1,,,3,
2014/01/01,06,10,6,1,,,3,
2014/01/01,07,10,6,1,,,3,
2014/01/01,08,10,6,1,,,3,
2014/01/01,09,14,8,1,,,3,
2014/01/01,10,13,8,1,,,4,
2014/01/01,11,13,7,1,,,4,
2014/01/01,12,13,7,1,,,4,
2014/01/01,13,14,8,1,,,4,
2014/01/01,14,15,9,1,,,5,
2014/01/01,15,14,8,1,,,4,
2014/01/01,16,13,8,1,,,4,
2014/01/01,17,14,8,1,,,4,
2014/01/01,18,16,8,2,,,5,
2014/01/01,19,15,8,2,,,4,
2014/01/01,20,15,9,2,,,4,
2014/01/01,21,16,9,2,,,4,
2014/01/01,22,15,9,2,,,4,
2014/01/01,23,13,7,1,,,4,
2014/01/01,24,12,7,1,,,3,
2014/01/02,01,12,7,1,,,3,
2014/01/02,02,13,7,1,,,4,
2014/01/02,03,12,8,1,,,3,
2014/01/02,04,11,5,1,,,4,
2014/01/02,05,10,6,1,,,3,
2014/01/02,06,12,7,1,,,3,
2014/01/02,07,10,5,1,,,3,
2014/01/02,08,10,6,1,,,3,
2014/01/02,09,15,10,1,,,4,
2014/01/02,10,14,9,1,,,3,
2014/01/02,11,16,9,2,,,4,
2014/01/02,12,46,34,5,,,4,
2014/01/02,13,36,22,5,,,4,
2014/01/02,14,33,20,5,,,4,
2014/01/02,15,33,20,5,,,4,
2014/01/02,16,36,19,5,,,5,
2014/01/02,17,38,25,6,,,4,
2014/01/02,18,44,28,8,,,4,
2014/01/02,19,40,23,8,,,4,
2014/01/02,20,19,7,5,,,4,
2014/01/02,21,18,7,4,,,3,
2014/01/02,22,18,7,4,,,4,
2014/01/02,23,13,5,1,,,4,
2014/01/02,24,13,5,1,,,4,
2014/01/03,01,10,3,1,,,3,
2014/01/03,02,12,4,1,,,3,
2014/01/03,03,13,4,1,,,4,
2014/01/03,04,12,5,1,,,3,
2014/01/03,05,10,3,1,,,3,
2014/01/03,06,10,3,1,,,3,
2014/01/03,07,10,3,1,,,3,
2014/01/03,08,30,20,1,,,3,
2014/01/03,09,43,31,1,,,4,
2014/01/03,10,47,35,3,,,3,
2014/01/03,11,47,34,6,,,3,
2014/01/03,12,39,23,6,,,3,
2014/01/03,13,39,24,6,,,4,
2014/01/03,14,36,20,6,,,4,
2014/01/03,15,35,23,6,,,3,
2014/01/03,16,34,20,6,,,4,
2014/01/03,17,39,23,6,,,5,
2014/01/03,18,46,27,9,,,4,
2014/01/03,19,48,28,9,,,4,
2014/01/03,20,51,31,9,,,4,
2014/01/03,21,52,31,9,,,5,
2014/01/03,22,45,30,8,,,3,
2014/01/03,23,15,6,2,,,3,
2014/01/03,24,16,6,2,,,4,
2014/01/04,01,13,5,2,,,3,
2014/01/04,02,15,5,2,,,4,
2014/01/04,03,13,4,2,,,3,
2014/01/04,04,13,5,2,,,3,
2014/01/04,05,13,5,2,,,3,
2014/01/04,06,12,5,1,,,3,
2014/01/04,07,19,10,2,,,3,
