計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2012/08/01,01,20,2,,,,,
2012/08/01,02,19,3,,,,,
2012/08/01,03,19,2,,,,,
2012/08/01,04,20,2,,,,,
2012/08/01,05,19,3,,,,,
2012/08/01,06,19,2,,,,,
2012/08/01,07,19,2,,,,,
2012/08/01,08,23,5,,,,,
2012/08/01,09,52,29,,,,,
2012/08/01,10,250,153,,,,,
2012/08/01,11,330,154,,,,,
2012/08/01,12,334,156,,,,,
2012/08/01,13,320,148,,,,,
2012/08/01,14,328,160,,,,,
2012/08/01,15,327,156,,,,,
2012/08/01,16,333,168,,,,,
2012/08/01,17,331,161,,,,,
2012/08/01,18,323,156,,,,,
2012/08/01,19,319,139,,,,,
2012/08/01,20,310,128,,,,,
2012/08/01,21,101,11,,,,,
2012/08/01,22,33,12,,,,,
2012/08/01,23,23,3,,,,,
2012/08/01,24,19,3,,,,,
2012/08/02,01,19,2,,,,,
2012/08/02,02,19,2,,,,,
2012/08/02,03,20,3,,,,,
2012/08/02,04,20,3,,,,,
2012/08/02,05,21,2,,,,,
2012/08/02,06,18,3,,,,,
2012/08/02,07,19,2,,,,,
2012/08/02,08,20,2,,,,,
2012/08/02,09,56,22,,,,,
2012/08/02,10,253,161,,,,,
2012/08/02,11,346,180,,,,,
2012/08/02,12,352,188,,,,,
2012/08/02,13,343,172,,,,,
2012/08/02,14,338,170,,,,,
2012/08/02,15,342,177,,,,,
2012/08/02,16,350,179,,,,,
2012/08/02,17,341,162,,,,,
2012/08/02,18,323,151,,,,,
2012/08/02,19,325,139,,,,,
2012/08/02,20,303,115,,,,,
2012/08/02,21,88,9,,,,,
2012/08/02,22,20,2,,,,,
2012/08/02,23,20,2,,,,,
2012/08/02,24,20,2,,,,,
2012/08/03,01,20,2,,,,,
2012/08/03,02,19,2,,,,,
2012/08/03,03,20,3,,,,,
2012/08/03,04,20,2,,,,,
2012/08/03,05,21,2,,,,,
2012/08/03,06,20,4,,,,,
2012/08/03,07,20,2,,,,,
2012/08/03,08,21,6,,,,,
2012/08/03,09,57,20,,,,,
2012/08/03,10,216,126,,,,,
2012/08/03,11,341,174,,,,,
2012/08/03,12,341,170,,,,,
2012/08/03,13,339,182,,,,,
2012/08/03,14,350,182,,,,,
2012/08/03,15,345,186,,,,,
2012/08/03,16,349,179,,,,,
2012/08/03,17,342,168,,,,,
2012/08/03,18,329,151,,,,,
2012/08/03,19,316,135,,,,,
2012/08/03,20,306,127,,,,,
2012/08/03,21,112,9,,,,,
2012/08/03,22,60,8,,,,,
2012/08/03,23,63,3,,,,,
2012/08/03,24,51,3,,,,,
2012/08/04,01,19,3,,,,,
2012/08/04,02,19,3,,,,,
2012/08/04,03,20,3,,,,,
2012/08/04,04,20,2,,,,,
2012/08/04,05,19,2,,,,,
2012/08/04,06,18,2,,,,,
2012/08/04,07,19,2,,,,,
2012/08/04,08,43,20,,,,,
2012/08/04,09,56,20,,,,,
2012/08/04,10,210,125,,,,,
2012/08/04,11,320,151,,,,,
2012/08/04,12,341,167,,,,,
2012/08/04,13,341,170,,,,,
2012/08/04,14,353,166,,,,,
2012/08/04,15,319,154,,,,,
2012/08/04,16,338,164,,,,,
2012/08/04,17,321,149,,,,,
2012/08/04,18,325,146,,,,,
2012/08/04,19,314,126,,,,,
2012/08/04,20,299,103,,,,,
2012/08/04,21,70,7,,,,,
2012/08/04,22,25,2,,,,,
2012/08/04,23,24,2,,,,,
2012/08/04,24,22,2,,,,,
2012/08/05,01,21,2,,,,,
2012/08/05,02,22,2,,,,,
2012/08/05,03,22,2,,,,,
2012/08/05,04,23,2,,,,,
2012/08/05,05,23,3,,,,,
2012/08/05,06,22,2,,,,,
2012/08/05,07,27,9,,,,,
2012/08/05,08,29,14,,,,,
2012/08/05,09,48,15,,,,,
2012/08/05,10,292,163,,,,,
2012/08/05,11,332,164,,,,,
2012/08/05,12,346,175,,,,,
2012/08/05,13,348,179,,,,,
2012/08/05,14,362,199,,,,,
2012/08/05,15,347,175,,,,,
2012/08/05,16,352,193,,,,,
2012/08/05,17,336,174,,,,,
2012/08/05,18,355,187,,,,,
2012/08/05,19,333,169,,,,,
2012/08/05,20,319,130,,,,,
2012/08/05,21,113,12,,,,,
2012/08/05,22,30,9,,,,,
2012/08/05,23,29,10,,,,,
2012/08/05,24,23,8,,,,,
2012/08/06,01,20,3,,,,,
2012/08/06,02,20,3,,,,,
2012/08/06,03,20,2,,,,,
2012/08/06,04,21,1,,,,,
2012/08/06,05,20,3,,,,,
2012/08/06,06,19,2,,,,,
2012/08/06,07,20,3,,,,,
2012/08/06,08,56,29,,,,,
2012/08/06,09,115,84,,,,,
2012/08/06,10,179,76,,,,,
2012/08/06,11,258,96,,,,,
2012/08/06,12,258,79,,,,,
2012/08/06,13,275,95,,,,,
2012/08/06,14,289,100,,,,,
