計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/09/01,01,92,0,24,,,61,7
2013/09/01,02,92,0,24,,,62,6
2013/09/01,03,89,1,24,,,58,6
2013/09/01,04,85,1,24,,,56,4
2013/09/01,05,84,0,21,,,57,6
2013/09/01,06,97,1,28,,,60,8
2013/09/01,07,157,5,44,,,71,37
2013/09/01,08,196,7,49,,,81,59
2013/09/01,09,212,10,49,,,101,52
2013/09/01,10,282,15,76,,,144,47
2013/09/01,11,286,14,79,,,145,48
2013/09/01,12,292,19,78,,,154,41
2013/09/01,13,265,16,78,,,140,31
2013/09/01,14,290,15,77,,,154,44
2013/09/01,15,277,16,78,,,139,44
2013/09/01,16,271,10,77,,,148,36
2013/09/01,17,242,10,73,,,131,28
2013/09/01,18,230,10,75,,,124,21
2013/09/01,19,205,9,76,,,97,23
2013/09/01,20,205,8,77,,,98,22
2013/09/01,21,190,6,76,,,89,19
2013/09/01,22,183,4,73,,,89,17
2013/09/01,23,136,2,48,,,73,13
2013/09/01,24,97,0,25,,,66,6
2013/09/02,01,89,1,24,,,57,7
2013/09/02,02,89,1,24,,,59,5
2013/09/02,03,85,0,24,,,55,6
2013/09/02,04,86,0,24,,,57,5
2013/09/02,05,85,1,20,,,57,7
2013/09/02,06,94,1,25,,,62,6
2013/09/02,07,144,2,44,,,66,32
2013/09/02,08,179,4,48,,,72,55
2013/09/02,09,186,5,49,,,83,49
2013/09/02,10,236,6,75,,,114,41
2013/09/02,11,245,7,78,,,117,43
2013/09/02,12,244,7,77,,,123,37
2013/09/02,13,232,7,77,,,120,28
2013/09/02,14,255,9,74,,,130,42
2013/09/02,15,248,10,75,,,124,39
2013/09/02,16,242,10,76,,,124,32
2013/09/02,17,225,9,72,,,117,27
2013/09/02,18,223,9,76,,,117,21
2013/09/02,19,214,7,77,,,106,24
2013/09/02,20,218,6,79,,,104,29
2013/09/02,21,204,4,77,,,94,29
2013/09/02,22,195,4,75,,,98,18
2013/09/02,23,149,2,52,,,78,17
2013/09/02,24,102,0,28,,,66,8
2013/09/03,01,91,0,25,,,59,7
2013/09/03,02,90,1,24,,,59,6
2013/09/03,03,87,1,23,,,55,8
2013/09/03,04,86,0,23,,,56,7
2013/09/03,05,85,0,20,,,57,8
2013/09/03,06,96,1,28,,,60,7
2013/09/03,07,144,3,43,,,68,30
2013/09/03,08,188,7,48,,,74,59
2013/09/03,09,195,9,50,,,85,51
2013/09/03,10,257,11,77,,,125,44
2013/09/03,11,264,10,78,,,132,44
