Hour,AvgMean,StdMean
1,31.52849336455894,1.0763709380806328
2,28.165886026541767,0.9531804529938542
3,25.122560499609676,0.8499673203501665
4,23.381889149102264,0.709248865973249
5,22.622950819672134,0.6599536602268898
6,23.382123341139735,0.641637699477638
7,26.68953942232631,0.9507541999354733
8,32.13622170179547,1.5647779400372104
9,39.94808743169399,2.6016116374453406
10,49.33692427790788,3.744358794785578
11,56.10148321623733,4.2335111505489085
12,57.522716627634665,4.715206101139
13,58.05792349726776,4.765292095798798
14,59.41420765027322,5.125929037881469
15,59.518423106947694,4.969364192790084
16,59.355815768930526,4.747267600225605
17,59.90936768149882,4.610359935329457
18,60.02459016393443,4.017246302687611
19,60.51678376268541,3.323179204123424
20,59.33981264637003,3.1145911555265884
21,55.20507416081186,2.6029515847245324
22,46.28384074941452,2.224227683387165
23,40.0312256049961,1.8623690999447327
24,35.073458235753314,1.3880416323951716
