Hour,AvgMean,StdMean
1,22.894262295081976,0.9909190838079779
2,19.562295081967214,0.969070412735422
3,17.969945355191257,0.8019262992093923
4,16.61229508196721,0.7248761067393051
5,15.91912568306011,0.663268910192124
6,16.154918032786885,0.6597892820758866
7,18.430327868852455,0.6806893283420664
8,23.6,1.384430732008799
9,30.521857923497272,1.9209693709366016
10,40.31775956284153,2.8998741710853673
11,48.82322404371585,3.082318218201382
12,50.77732240437159,3.878415156187141
13,50.30109289617486,3.9559734050590176
14,52.476502732240434,4.3204941963425965
15,52.51612021857923,4.372013127913465
16,51.2568306010929,4.045016922573841
17,51.61557377049181,3.7349587465412304
18,51.67841530054645,3.274113771083009
19,52.84535519125684,2.55418177621921
20,53.08579234972678,2.444226378042377
21,47.43415300546447,1.8205476323093996
22,35.51857923497268,1.6491652090403401
23,29.897540983606564,1.1839155654737297
24,26.568306010928957,1.0006541800043738
