Hour,AvgMean,StdMean
1,33.690023943758945,1.178617633823624
2,30.517621229622947,1.0426105505555359
3,28.35306717257101,0.9481528178625928
4,27.018267634616706,0.8048472889379288
5,26.40797717310649,0.71480348126741
6,27.3612294699479,0.7663510522562065
7,30.963694223663776,1.1260753527458263
8,37.654100655584706,1.9026205054115477
9,48.08718435164431,3.431641533836394
10,60.87026001545253,4.819116143943278
11,68.78018405330354,5.437731230360196
12,70.17027607995534,5.727717975800598
13,68.89138866152092,5.247012284396091
14,71.38313074210353,6.009161606255671
15,71.63633790534183,6.015594436614013
16,71.28095285450917,5.817777643839444
17,71.47778126266992,5.605820642580383
18,70.13277694055368,4.681740502165036
19,69.72363700343475,3.7450030964458816
20,67.83722833778295,3.37464303351989
21,61.71421249512327,2.6872100464470283
22,51.567604782631975,2.1518289330545324
23,42.964941135071875,1.8303717669286361
24,37.0725274052768,1.5069257978247195
