Hour,AvgMean,StdMean
1,20.58087431693989,1.316373821156849
2,17.1327868852459,1.1882314819782598
3,15.783060109289616,0.9946234873723699
4,14.757923497267756,0.8813572419593849
5,14.585792349726777,0.7245489524994617
6,13.787431693989072,0.7697411372508185
7,16.053005464480876,0.9142342700405558
8,21.39016393442623,2.073023400853048
9,30.63387978142077,2.2441625697492826
10,41.466120218579235,3.3708030198007637
11,51.26939890710382,3.2062228603620895
12,53.243169398907106,4.034578881256604
13,52.25355191256831,4.027185752958899
14,54.83278688524591,4.32934449369767
15,54.842076502732226,4.49171226956318
16,53.9,4.167704788709102
17,54.51530054644809,3.854175101254356
18,54.84699453551913,3.7006787003631763
19,55.02131147540984,3.200836825843966
20,54.061202185792354,2.7821063708885676
21,48.976502732240434,2.174302176540917
22,36.31857923497268,2.2727539972205775
23,27.67158469945355,1.5345188582257343
24,23.64863387978142,1.3313041084447288
