Hour,Procured
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,803.3912858660997
17,809.8524973432518
18,815.2189160467587
19,831.8926673751325
20,821.766631243358
21,746.6514346439958
22,0.0
23,0.0
24,0.0
