Hour,Procured
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,778.2586609989371
13,792.449734325186
14,800.3487778958556
15,803.601275239107
16,803.3912858660997
17,809.8524973432518
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
