Hour,Procured
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,12437.124590163934
16,12433.859016393442
17,12533.039344262295
18,12614.642622950814
19,12868.213114754093
20,12709.098360655735
21,0.0
22,0.0
23,0.0
24,0.0
