Hour,Procured
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,11580.586885245895
12,12005.59672131147
13,12224.511475409832
14,12346.363934426226
15,12396.537704918032
16,12393.298360655732
17,12492.970491803273
18,12575.754098360652
19,12832.967213114753
20,12676.7606557377
21,11518.016393442624
22,0.0
23,0.0
24,0.0
