Hour,AvgMean,StdMean
1,38.50262295081967,1.861683445507463
2,35.72344262295082,1.6382966816787727
3,34.24229508196721,1.5511163546663795
4,33.30688524590165,1.3163281530468107
5,32.65049180327869,1.2333699353696754
6,33.75065573770492,1.1853945443377776
7,37.851147540983604,1.6970409139079587
8,47.86081967213116,3.518140946804181
9,62.039836065573766,5.697662302280684
10,74.99409836065574,7.726313645439346
11,82.77737704918032,8.339632987489955
12,84.54032786885246,8.553097984847575
13,81.64311475409836,7.359325196476049
14,85.44803278688524,8.832266445046939
15,84.77311475409837,8.464555325336583
16,83.64983606557378,8.011117785293562
17,82.32262295081968,7.651542842736186
18,79.52278688524592,6.381797920044713
19,77.14655737704919,5.0751460885848765
20,74.4677049180328,4.47246160021365
21,69.6172131147541,3.518117105921226
22,56.852622950819665,2.7003180757631
23,46.785737704918034,2.3288549631520663
24,41.915245901639345,2.038453774798781
