Hour,AvgMean,StdMean
1,33.90608162910764,1.1880823821691693
2,30.65114773049322,1.0661396751045258
3,28.457811210591203,0.9810431975073829
4,27.084207361347172,0.8197876232246275
5,26.464305405061356,0.73027057528472
6,27.367785863868598,0.7789209446571782
7,30.97003600405309,1.1268950298650156
8,37.69118819312704,1.884647015757624
9,48.14781805135293,3.3634264880301856
10,61.034974151447486,4.740852445021845
11,69.24025775986357,5.38087488254464
12,70.6387766463956,5.676898239486888
13,69.35367440758017,5.201571665615158
14,71.85352433980933,5.95675499961695
15,72.13268023953674,5.963812786598418
16,71.78377141922284,5.77931346053123
17,71.98161289708764,5.565496587362218
18,70.68145147053353,4.655411905054229
19,70.41214724720433,3.748815087737331
20,68.60301061984588,3.418090730068539
21,62.52882505362062,2.728107473025299
22,52.118608695068275,2.1867459757289702
23,43.376119426673924,1.8565429736320478
24,37.346522185598346,1.5319622206750583
