Consumer,Hour,Mean,Std
B11000004,1,81.32786885245902,7.589296413263492
B11000004,2,74.85245901639344,6.290341452781608
B11000004,3,77.0,5.447213154223083
B11000004,4,76.45901639344262,6.882083582924158
B11000004,5,70.59016393442623,6.656383720566339
B11000004,6,70.93442622950819,5.404518002072142
B11000004,7,77.81967213114754,7.360747014659143
B11000004,8,105.60655737704919,8.948447412773174
B11000004,9,126.81967213114754,8.538261420759108
B11000004,10,129.65573770491804,11.227725118697792
B11000004,11,141.0655737704918,12.518666524675595
B11000004,12,138.54098360655738,12.269612965012659
B11000004,13,136.63934426229508,12.149388147429208
B11000004,14,142.68852459016392,12.401138212708815
B11000004,15,153.31147540983608,10.630209016045036
B11000004,16,157.0983606557377,11.869101528045086
B11000004,17,155.49180327868854,11.31171299346596
B11000004,18,149.72131147540983,10.669600062474084
B11000004,19,144.98360655737704,10.93121834626532
B11000004,20,145.0,12.24744871391589
B11000004,21,150.81967213114754,11.429768720637181
B11000004,22,133.80327868852459,10.37465333749289
B11000004,23,93.78688524590164,9.80651298146716
B11000004,24,79.91803278688525,6.066016820327718
B11000005,1,49.24590163934426,7.582671655356582
B11000005,2,40.65573770491803,5.986008949568656
B11000005,3,39.21311475409836,5.383991919276207
B11000005,4,38.19672131147541,4.371366114753825
B11000005,5,36.80327868852459,4.052199047314189
B11000005,6,26.9672131147541,4.594962363122959
B11000005,7,35.0,13.848122320490916
B11000005,8,47.68852459016394,24.498605503041553
B11000005,9,64.09836065573771,17.053152122483116
B11000005,10,84.54098360655738,5.268445412577131
B11000005,11,87.80327868852459,4.941691726428716
B11000005,12,90.22950819672131,5.436348348357278
B11000005,13,92.22950819672131,6.524590163934426
B11000005,14,93.22950819672131,7.556114541961648
B11000005,15,93.39344262295081,7.531961816425049
B11000005,16,92.88524590163935,6.777732007761931
B11000005,17,91.67213114754098,5.352251897682222
B11000005,18,91.75409836065573,3.6960578809290365
B11000005,19,94.73770491803279,3.6570239595599436
B11000005,20,94.73770491803279,3.0185309603892208
B11000005,21,94.22950819672131,2.700294110410882
B11000005,22,93.93442622950819,2.856507396603936
B11000005,23,92.98360655737704,2.499126426250427
B11000005,24,90.67213114754098,3.620168058210222
B11000007,1,65.29508196721312,7.344774572297746
B11000007,2,64.47540983606558,7.2577975193604285
B11000007,3,75.14754098360656,5.404418549194513
B11000007,4,69.98360655737704,7.992807839343963
B11000007,5,65.55737704918033,7.966167373858381
B11000007,6,61.704918032786885,7.851791614062259
B11000007,7,80.34426229508196,9.098523111826843
B11000007,8,112.19672131147541,10.170383992833159
B11000007,9,124.06557377049181,9.401550016011951
B11000007,10,133.72131147540983,14.138809683408246
B11000007,11,161.78688524590163,15.533269165054877
B11000007,12,162.40983606557376,16.173624601801873
B11000007,13,162.31147540983608,17.085648261382723
B11000007,14,160.7377049180328,16.935656089789234
B11000007,15,159.75409836065575,13.618521305475944
B11000007,16,160.29508196721312,15.58829348728527
B11000007,17,155.88524590163934,14.797095816803498
B11000007,18,147.01639344262296,14.246646776339794
B11000007,19,142.68852459016392,13.39138576015433
B11000007,20,143.81967213114754,12.105422435896998
B11000007,21,136.9672131147541,9.545348559299265
B11000007,22,108.01639344262296,7.904121778610483
B11000007,23,78.19672131147541,7.939979089312903
B11000007,24,66.50819672131148,8.213589201308896
B11000008,1,51.131147540983605,4.970323107998492
B11000008,2,54.09836065573771,4.633112886329062
B11000008,3,62.57377049180328,4.4333276418637135
B11000008,4,52.622950819672134,5.749309108674667
B11000008,5,47.50819672131148,5.039590637875888
B11000008,6,46.77049180327869,4.9799382530339855
B11000008,7,60.57377049180328,6.320559781168594
B11000008,8,79.11475409836065,7.559812558730471
B11000008,9,106.31147540983606,11.279665417091346
B11000008,10,111.9672131147541,14.933697414330412
B11000008,11,120.1639344262295,15.144311627942178
B11000008,12,117.95081967213115,15.673331458253179
B11000008,13,118.01639344262296,16.403210204881567
B11000008,14,115.75409836065573,13.036714533439426
B11000008,15,122.81967213114754,13.618343700259722
B11000008,16,118.06557377049181,15.285124937105309
B11000008,17,112.0327868852459,15.314160609843764
B11000008,18,106.80327868852459,14.06404516131052
B11000008,19,105.44262295081967,12.398472394222319
B11000008,20,102.98360655737704,9.868797995601582
B11000008,21,102.8688524590164,9.872092491390037
B11000008,22,59.63934426229508,6.005551494270606
B11000008,23,53.377049180327866,5.172955949926152
B11000008,24,50.09836065573771,4.522094821523037
B11000010,1,52.75409836065574,4.877703496540278
B11000010,2,55.049180327868854,4.589461304537006
B11000010,3,53.85245901639344,4.352636531219958
B11000010,4,50.40983606557377,4.10268624188531
B11000010,5,47.81967213114754,4.850243180387501
B11000010,6,58.22950819672131,5.0258135060379825
B11000010,7,52.21311475409836,6.430242975544268
B11000010,8,96.54098360655738,7.552165622514855
B11000010,9,118.1639344262295,10.469597402297373
B11000010,10,122.57377049180327,12.135112333932556
B11000010,11,143.5737704918033,12.121595707855587
B11000010,12,151.78688524590163,10.872004587054306
B11000010,13,148.9344262295082,13.930587706594267
B11000010,14,145.34426229508196,13.82310402129928
B11000010,15,145.8360655737705,12.863954377453624
B11000010,16,140.36065573770492,11.083931342093273
B11000010,17,138.81967213114754,12.017075551503153
B11000010,18,145.50819672131146,10.653442375734896
B11000010,19,133.29508196721312,9.283061009957484
B11000010,20,129.50819672131146,8.430279054984318
B11000010,21,137.672131147541,8.622732653227155
B11000010,22,80.45901639344262,7.670624764542963
B11000010,23,54.90163934426229,5.020302773289796
B11000010,24,65.45901639344262,4.914260848617607
B11000012,1,4.360655737704918,1.2285241964062426
B11000012,2,4.344262295081967,1.353625924809378
B11000012,3,4.360655737704918,1.3554115808914353
B11000012,4,4.344262295081967,1.353625924809378
B11000012,5,4.377049180327869,1.4504259908586665
B11000012,6,4.409836065573771,1.464073020443679
B11000012,7,4.442622950819672,1.5631472053849464
B11000012,8,4.491803278688525,1.564178418606762
B11000012,9,11.721311475409836,10.875044597671485
B11000012,10,57.442622950819676,13.47070238066025
B11000012,11,78.88524590163935,9.14921542933159
B11000012,12,80.06557377049181,8.989737049089424
B11000012,13,82.06557377049181,9.46757858921269
