Hour,AvgMean,StdMean
1,22.139344262295083,1.2446454003932457
2,20.340619307832426,1.1873854362588563
3,19.42349726775956,1.187201700810707
4,18.117486338797814,1.1550991445165195
5,17.259562841530055,1.037581671339172
6,16.629326047358834,1.093610877420228
7,20.337887067395265,1.0507895029139012
8,25.598360655737704,2.341502601011303
9,32.19581056466302,2.199303641272522
10,43.75409836065574,2.7809719161219157
11,56.74863387978142,3.2218705693010983
12,58.35883424408015,3.9166143309359986
13,58.5792349726776,4.040418378533055
14,59.89708561020037,4.397691664023856
15,59.9207650273224,4.438172475891777
16,59.33424408014572,4.415118318181022
17,59.35883424408015,4.075431914716371
18,60.450819672131146,3.9248158109694775
19,59.28870673952641,3.0336742549485667
20,57.517304189435336,2.711831792735555
21,53.45719489981785,2.633491142247989
22,36.369763205828775,2.9580977953541936
23,26.23315118397086,1.787791121163053
24,24.127504553734063,1.5390203748018938
